"","Maand_Dag","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","Historical_Min","Historical_Max","Historical_Mean","Naam"
"1","01-01",75.59,71.41,48.62,65.03,69.2,67.16,66.59,66.11,65.41,74.75,65.8,47.82,82.19,48.62,75.59,65.2908333333333,"BG"
"2","01-02",75.59,71.03,48.1,64.56,68.67,66.61,66.03,65.53,64.96,74.23,65.43,47.31,82.19,48.1,75.59,64.8375,"BG"
"3","01-03",75.14,70.5,47.57,64.09,68.15,66.07,65.47,64.96,64.44,73.6,64.21,46.8,82.19,47.57,75.14,64.25,"BG"
"4","01-04",74.61,69.97,47.04,63.61,67.62,65.38,64.91,64.38,63.94,72.96,63.61,46.29,82.19,47.04,74.61,63.6933333333333,"BG"
"5","01-05",74.08,69.44,46.51,63.14,67.1,64.65,64.35,63.81,63.37,72.33,63.01,45.78,82.19,46.51,74.08,63.1308333333333,"BG"
"6","01-06",73.54,68.91,45.98,62.67,66.57,63.92,63.83,63.24,62.8,71.63,62.65,45.22,82.19,45.98,73.54,62.58,"BG"
"7","01-07",73.01,68.37,45.46,62.2,66.02,63.38,63.27,62.67,62.22,70.93,62.28,44.64,82.19,45.46,73.01,62.0375,"BG"
"8","01-08",72.48,67.84,44.93,61.73,65.47,62.84,62.71,62.09,61.66,70.23,60.75,44.06,82.19,44.93,72.48,61.3991666666667,"BG"
"9","01-09",71.95,67.3,44.41,61.26,64.86,62.31,62.14,61.52,61.08,69.54,60.06,43.48,NA,44.41,71.95,60.8258333333333,"BG"
"10","01-10",71.43,66.77,43.89,60.78,64.25,61.78,61.58,60.95,60.52,68.84,59.36,42.91,NA,43.89,71.43,60.255,"BG"
"11","01-11",70.9,66.23,43.37,60.31,63.7,61.24,61.02,60.37,59.95,68.14,58.67,42.33,NA,43.37,70.9,59.6858333333333,"BG"
"12","01-12",70.37,65.7,42.85,59.84,63.17,60.71,60.46,59.8,59.38,67.44,57.98,41.66,NA,42.85,70.37,59.1133333333333,"BG"
"13","01-13",69.84,65.16,42.34,59.37,62.7,60.17,59.9,59.23,58.81,66.74,57.29,40.99,NA,42.34,69.84,58.545,"BG"
"14","01-14",69.36,64.63,41.82,58.9,62.23,59.73,59.34,58.66,58.24,66.04,56.6,40.33,NA,41.82,69.36,57.99,"BG"
"15","01-15",68.92,64.09,41.3,58.43,61.76,59.29,58.78,58.08,57.67,65.35,55.91,39.66,NA,41.3,68.92,57.4366666666667,"BG"
"16","01-16",68.48,63.55,40.78,57.96,61.29,58.85,58.22,57.51,57.1,64.65,55.21,38.99,NA,40.78,68.48,56.8825,"BG"
"17","01-17",67.97,63.01,40.26,57.49,60.82,58.32,57.66,56.94,56.51,63.95,54.52,38.32,NA,40.26,67.97,56.3141666666667,"BG"
"18","01-18",67.44,62.48,39.74,57.02,60.38,57.65,57.1,56.36,55.85,63.25,53.83,37.66,NA,39.74,67.44,55.73,"BG"
"19","01-19",66.92,61.94,39.22,56.46,59.99,56.97,56.54,55.79,55.14,62.55,53.14,36.99,NA,39.22,66.92,55.1375,"BG"
"20","01-20",66.4,61.41,38.7,55.9,59.6,56.29,55.98,55.22,54.43,61.85,52.44,36.32,NA,38.7,66.4,54.545,"BG"
"21","01-21",65.83,60.87,38.19,55.33,59.21,55.61,55.42,54.64,53.73,61.15,51.75,35.68,NA,38.19,65.83,53.9508333333333,"BG"
"22","01-22",65.33,60.34,37.67,54.77,58.82,54.93,54.86,54.07,53.02,60.46,51.06,35.05,NA,37.67,65.33,53.365,"BG"
"23","01-23",64.85,59.8,37.15,54.21,58.43,54.25,54.3,53.5,52.36,59.76,50.37,34.41,NA,37.15,64.85,52.7825,"BG"
"24","01-24",64.27,59.27,36.63,53.65,58.04,53.68,53.75,52.92,51.7,59.06,49.68,33.77,NA,36.63,64.27,52.2016666666667,"BG"
"25","01-25",63.68,58.73,36.12,53.09,57.65,53.3,53.19,52.35,51.11,58.36,48.99,33.14,NA,36.12,63.68,51.6425,"BG"
"26","01-26",63.07,58.19,35.6,52.53,57.26,52.99,52.63,51.78,50.53,57.67,48.3,32.5,NA,35.6,63.07,51.0875,"BG"
"27","01-27",62.46,57.66,35.08,51.97,56.87,52.67,52.07,51.29,49.95,56.97,47.6,31.86,NA,35.08,62.46,50.5375,"BG"
