"","Maand_Dag","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","Historical_Min","Historical_Max","Historical_Mean","Naam"
"1","01-01",60.88,97.02,65.45,74.52,76.46,70.82,67.43,71.93,70.99,93.9,69.31,56.9,86.38,60.88,97.02,72.9675,"CZ"
"2","01-02",60.6,96.43,64.65,74.18,76,70.42,66.69,71.3,70.58,93.22,68.83,56.81,86.7,60.6,96.43,72.4758333333333,"CZ"
"3","01-03",59.93,95.77,63.95,73.82,75.5,69.9,65.89,70.66,69.99,92.57,68.37,56.69,86.83,59.93,95.77,71.92,"CZ"
"4","01-04",59.3,95.17,63.42,73.37,74.95,69.22,65.24,70.03,69.22,91.98,67.84,56.42,86.85,59.3,95.17,71.3466666666667,"CZ"
"5","01-05",58.65,94.48,63.11,72.83,74.31,68.42,64.57,69.44,68.65,91.39,67.35,56.08,86.91,58.65,94.48,70.7733333333333,"CZ"
"6","01-06",58.05,93.82,62.7,72.26,73.66,67.65,63.82,68.98,68.05,90.69,66.71,55.57,86.93,58.05,93.82,70.1633333333333,"CZ"
"7","01-07",57.72,93.2,62.01,71.73,72.95,66.9,63,68.52,67.45,89.93,66.09,55.02,87.05,57.72,93.2,69.5433333333333,"CZ"
"8","01-08",57.74,92.59,61.15,71.3,72.22,66.32,62.14,67.91,66.85,89.24,65.47,54.56,87.12,57.74,92.59,68.9575,"CZ"
"9","01-09",57.76,91.93,60.46,70.87,71.66,65.84,61.32,67.28,66.25,88.61,64.96,54.07,NA,57.76,91.93,68.4175,"CZ"
"10","01-10",57.71,91.27,59.62,70.32,71.24,65.3,60.49,66.6,65.6,87.99,64.46,53.43,NA,57.71,91.27,67.8358333333333,"CZ"
"11","01-11",57.58,90.49,58.7,69.75,70.69,64.73,59.65,65.91,64.98,87.39,63.82,52.55,NA,57.58,90.49,67.1866666666667,"CZ"
"12","01-12",57.5,89.8,57.8,69.25,70.11,64.2,58.86,65.29,64.48,86.78,63.2,51.63,NA,57.5,89.8,66.575,"CZ"
"13","01-13",57.43,89.28,56.95,68.64,69.55,63.63,58.21,64.7,64.02,86.14,62.41,50.76,NA,56.95,89.28,65.9766666666667,"CZ"
"14","01-14",57.41,88.61,55.92,68.06,69,63,57.63,64.07,63.45,85.51,61.67,49.78,NA,55.92,88.61,65.3425,"CZ"
"15","01-15",57.4,87.78,54.9,67.5,68.42,62.35,57.03,63.35,62.91,84.8,60.97,49.15,NA,54.9,87.78,64.7133333333333,"CZ"
"16","01-16",57.38,86.7,54.04,66.87,67.89,61.77,56.33,62.66,62.37,84.07,60.28,48.46,NA,54.04,86.7,64.0683333333333,"CZ"
"17","01-17",57.13,85.82,53.09,66.26,67.46,61.16,55.57,61.9,61.83,83.36,59.57,47.71,NA,53.09,85.82,63.405,"CZ"
"18","01-18",56.88,85.28,52.12,65.69,66.97,60.43,54.73,61.23,61.23,82.68,58.87,46.89,NA,52.12,85.28,62.75,"CZ"
"19","01-19",56.8,84.82,51.18,65.18,66.33,59.65,53.87,60.47,60.57,82,58.17,46.09,NA,51.18,84.82,62.0941666666667,"CZ"
"20","01-20",56.49,84.36,50.27,64.52,65.73,58.89,53.06,59.8,59.86,81.33,57.54,45.34,NA,50.27,84.36,61.4325,"CZ"
"21","01-21",56.11,84.06,49.47,63.83,65.08,58.11,52.37,59.13,59.26,80.66,56.96,44.67,NA,49.47,84.06,60.8091666666667,"CZ"
"22","01-22",55.7,83.77,49.12,63.13,64.47,57.33,51.71,58.45,58.57,79.93,56.49,44.06,NA,49.12,83.77,60.2275,"CZ"
"23","01-23",55.31,83.35,48.75,62.41,63.84,56.63,50.95,57.74,57.81,79.26,56.08,43.47,NA,48.75,83.35,59.6333333333333,"CZ"
"24","01-24",54.76,82.93,47.99,61.67,63.24,55.95,50.06,57.11,57.03,78.57,55.62,42.8,NA,47.99,82.93,58.9775,"CZ"
"25","01-25",54.32,82.25,47.25,60.89,62.64,55.23,49.27,56.46,56.27,77.85,55.07,41.94,NA,47.25,82.25,58.2866666666667,"CZ"
"26","01-26",53.95,81.53,46.42,60.22,61.98,54.74,48.54,55.72,55.64,77.16,54.32,41.22,NA,46.42,81.53,57.62,"CZ"
"27","01-27",53.42,80.9,45.54,59.41,61.31,54.47,47.88,55.15,54.93,76.35,53.69,40.55,NA,45.54,80.9,56.9666666666667,"CZ"
"28","01-28",52.85,80.25,44.65,58.41,60.59,54.29,47.12,54.62,54.21,75.51,52.85,39.9,NA,44.65,80.25,56.2708333333333,"CZ"
"29","01-29",52.21,79.62,43.95,57.38,59.94,54.14,46.3,53.93,53.4,74.65,52.17,39.41,NA,43.95,79.62,55.5916666666667,"CZ"
"30","01-30",51.58,78.82,43.34,56.3,59.32,53.99,45.43,53.24,52.51,73.89,51.47,38.93,NA,43.34,78.82,54.9016666666667,"CZ"
"31","01-31",50.64,77.95,42.81,55.27,58.69,53.83,44.57,52.53,51.73,73.2,50.74,38.4,NA,42.81,77.95,54.1966666666667,"CZ"
"32","02-01",50,77,42.47,54.53,57.93,53.63,43.87,52.08,51.09,72.85,50.01,37.9,NA,42.47,77,53.6133333333333,"CZ"
"33","02-02",49.29,75.71,42.25,53.88,57.14,53.42,43.19,51.59,50.6,72.52,49.25,37.36,NA,42.25,75.71,53.0166666666667,"CZ"
"34","02-03",48.88,74.26,42.01,53.2,56.25,53.21,42.68,51.15,50.06,72.12,48.63,36.87,NA,42.01,74.26,52.4433333333333,"CZ"
"35","02-04",48.55,72.97,41.69,52.4,55.51,52.95,42.23,50.7,49.41,71.62,47.97,36.59,NA,41.69,72.97,51.8825,"CZ"
"36","02-05",48.51,71.86,41.37,51.62,54.69,52.74,41.79,50.15,48.76,71.07,47.26,36.43,NA,41.37,71.86,51.3541666666667,"CZ"
"37","02-06",48.55,70.66,40.98,51.06,53.87,52.53,41.25,49.46,48.12,70.5,46.75,36.27,NA,40.98,70.66,50.8333333333333,"CZ"
"38","02-07",48.43,69.29,40.58,50.49,53.05,52.33,40.61,48.8,47.52,69.99,46.17,35.92,NA,40.58,69.99,50.265,"CZ"
"39","02-08",48.28,67.84,40.3,49.95,52.14,52.13,39.95,48.15,47.04,69.56,45.43,35.58,NA,39.95,69.56,49.6958333333333,"CZ"
"40","02-09",48.12,66.59,40.1,49.4,51.16,52,39.33,47.4,46.67,69.15,44.62,35.2,NA,39.33,69.15,49.145,"CZ"
"41","02-10",47.92,65.28,39.81,48.76,50.46,51.76,38.76,46.68,46.31,68.77,43.66,34.81,NA,38.76,68.77,48.5816666666667,"CZ"
"42","02-11",47.81,63.95,39.55,48.09,49.69,51.45,38.19,46.13,45.88,68.48,42.8,34.32,NA,38.19,68.48,48.0283333333333,"CZ"
"43","02-12",47.71,62.66,39.22,47.47,48.94,51.15,37.61,45.58,45.36,68.12,41.88,33.89,NA,37.61,68.12,47.4658333333333,"CZ"
"44","02-13",47.36,61.33,38.87,46.88,48.16,50.96,37.02,45.05,44.83,67.66,41.08,33.45,NA,37.02,67.66,46.8875,"CZ"
"45","02-14",47.02,60.44,38.44,46.27,47.45,50.77,36.45,44.43,44.53,67.27,40.25,32.97,NA,36.45,67.27,46.3575,"CZ"
"46","02-15",46.85,59.93,37.97,45.73,46.74,50.52,35.91,43.77,44.35,67.02,39.4,32.47,NA,35.91,67.02,45.8883333333333,"CZ"
"47","02-16",46.7,59.49,37.63,45.12,46.02,50.19,35.42,43.24,44.2,66.78,38.69,32.11,NA,35.42,66.78,45.4658333333333,"CZ"
"48","02-17",46.5,59.26,37.33,44.45,45.3,49.81,34.99,42.72,44.05,66.44,38.14,31.83,NA,34.99,66.44,45.0683333333333,"CZ"
"49","02-18",46.31,59.12,37,43.82,44.51,49.42,34.52,42.19,43.75,66.14,37.67,31.51,NA,34.52,66.14,44.6633333333333,"CZ"
"50","02-19",46.21,58.96,36.67,43.3,43.72,49.06,34.07,41.6,43.54,65.82,37.32,31.17,NA,34.07,65.82,44.2866666666667,"CZ"
"51","02-20",45.96,58.63,36.26,42.68,43.02,48.86,33.63,40.96,43.23,65.39,37.13,30.82,NA,33.63,65.39,43.8808333333333,"CZ"
"52","02-21",45.32,58.47,35.82,42.14,42.36,48.72,33.25,40.31,42.85,65.03,36.94,30.48,NA,33.25,65.03,43.4741666666667,"CZ"
"53","02-22",44.67,58.3,35.4,41.69,41.71,48.56,32.85,39.62,42.54,64.76,36.64,30.15,NA,32.85,64.76,43.0741666666667,"CZ"
"54","02-23",44.03,58.15,34.88,41.22,41.1,48.34,32.53,38.98,42.18,64.51,36.4,29.8,NA,32.53,64.51,42.6766666666667,"CZ"
"55","02-24",43.24,58.04,34.41,40.69,40.44,48.04,32.15,38.17,41.79,64.07,36.15,29.43,NA,32.15,64.07,42.2183333333333,"CZ"
"56","02-25",42.74,57.93,34.08,40.17,39.79,47.55,31.87,37.31,41.45,63.62,35.96,29,NA,31.87,63.62,41.7891666666667,"CZ"
