"","data.name","data.gasDayStart","data.full","Jaar","Maand_Dag"
"1","EU","2023-01-07","83.18","2023","01-07"
"2","EU","2023-01-06","83.21","2023","01-06"
"3","EU","2023-01-05","83.24","2023","01-05"
"4","EU","2023-01-04","83.35","2023","01-04"
"5","EU","2023-01-03","83.41","2023","01-03"
"6","EU","2023-01-02","83.49","2023","01-02"
"7","EU","2023-01-01","83.5","2023","01-01"
"8","EU","2022-12-31","83.35","2022","12-31"
"9","EU","2022-12-30","83.27","2022","12-30"
"10","EU","2022-12-29","83.22","2022","12-29"
"11","EU","2022-12-28","83.18","2022","12-28"
"12","EU","2022-12-27","83.18","2022","12-27"
"13","EU","2022-12-26","83.2","2022","12-26"
"14","EU","2022-12-25","83.1","2022","12-25"
"15","EU","2022-12-24","82.98","2022","12-24"
"16","EU","2022-12-23","82.91","2022","12-23"
"17","EU","2022-12-22","82.94","2022","12-22"
"18","EU","2022-12-21","83.03","2022","12-21"
"19","EU","2022-12-20","83.18","2022","12-20"
"20","EU","2022-12-19","83.45","2022","12-19"
"21","EU","2022-12-18","83.82","2022","12-18"
"22","EU","2022-12-17","84.18","2022","12-17"
"23","EU","2022-12-16","84.6","2022","12-16"
"24","EU","2022-12-15","85.18","2022","12-15"
"25","EU","2022-12-14","85.85","2022","12-14"
"26","EU","2022-12-13","86.56","2022","12-13"
"27","EU","2022-12-12","87.33","2022","12-12"
"28","EU","2022-12-11","88.03","2022","12-11"
"29","EU","2022-12-10","88.5","2022","12-10"
"30","EU","2022-12-09","88.93","2022","12-09"
"31","EU","2022-12-08","89.41","2022","12-08"
"32","EU","2022-12-07","89.92","2022","12-07"
"33","EU","2022-12-06","90.4","2022","12-06"
"34","EU","2022-12-05","90.85","2022","12-05"
"35","EU","2022-12-04","91.27","2022","12-04"
"36","EU","2022-12-03","91.56","2022","12-03"
"37","EU","2022-12-02","91.86","2022","12-02"
"38","EU","2022-12-01","92.32","2022","12-01"
"39","EU","2022-11-30","92.79","2022","11-30"
"40","EU","2022-11-29","93.2","2022","11-29"
"41","EU","2022-11-28","93.61","2022","11-28"
"42","EU","2022-11-27","93.91","2022","11-27"
"43","EU","2022-11-26","93.96","2022","11-26"
"44","EU","2022-11-25","94.02","2022","11-25"
"45","EU","2022-11-24","94.2","2022","11-24"
"46","EU","2022-11-23","94.38","2022","11-23"
"47","EU","2022-11-22","94.58","2022","11-22"
"48","EU","2022-11-21","94.81","2022","11-21"
"49","EU","2022-11-20","95.02","2022","11-20"
"50","EU","2022-11-19","95.13","2022","11-19"
"51","EU","2022-11-18","95.22","2022","11-18"
