"","Maand_Dag","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","Historical_Min","Historical_Max","Historical_Mean","Naam"
"1","01-01",56.51,66.87,63.31,75.62,69.08,64.67,43.08,48.59,41.24,0,79.44,55.21,47.07,0,75.62,55.3016666666667,"LV"
"2","01-02",56.01,66.4,62.84,75.21,68.71,64.21,42.83,48.4,40.97,60.98,78.89,54.68,47.07,40.97,75.21,60.0108333333333,"LV"
"3","01-03",55.5,65.91,62.33,74.79,68.33,63.79,42.57,48.23,40.66,60.63,78.38,54.15,47.19,40.66,74.79,59.6058333333333,"LV"
"4","01-04",54.97,65.42,61.81,74.39,67.9,63.25,42.23,48.06,40.4,60.28,77.94,53.57,47.25,40.4,74.39,59.185,"LV"
"5","01-05",54.46,64.94,61.26,74,67.33,62.66,41.7,47.9,40.12,59.91,77.4,53.32,47.15,40.12,74,58.75,"LV"
"6","01-06",53.92,64.46,60.69,73.61,66.71,61.99,41.21,47.73,39.8,59.54,76.79,52.67,46.9,39.8,73.61,58.26,"LV"
"7","01-07",53.46,63.96,60.09,73.2,66.07,61.37,40.8,47.52,39.51,59.14,76.2,51.96,46.73,39.51,73.2,57.7733333333333,"LV"
"8","01-08",53.04,63.45,59.48,72.81,65.53,60.72,40.46,47.28,39.21,58.78,75.56,51.25,46.55,39.21,72.81,57.2975,"LV"
"9","01-09",52.64,62.96,58.87,72.42,65.04,60.11,40.18,46.97,38.8,58.39,74.93,50.53,NA,38.8,72.42,56.82,"LV"
"10","01-10",52.23,62.44,58.25,72,64.62,59.57,39.86,46.57,38.35,57.99,74.32,49.73,NA,38.35,72,56.3275,"LV"
"11","01-11",51.78,61.93,57.54,71.57,64.15,59.03,39.55,46.21,38.02,57.58,73.74,48.84,NA,38.02,71.57,55.8283333333333,"LV"
"12","01-12",51.37,61.45,56.79,71.12,63.59,58.54,39.27,45.87,37.72,57.08,73.11,48.12,NA,37.72,71.12,55.3358333333333,"LV"
"13","01-13",51,60.93,56.06,70.55,63.1,58.05,39,45.5,37.43,56.5,72.5,47.48,NA,37.43,70.55,54.8416666666667,"LV"
"14","01-14",50.54,60.41,55.32,69.98,62.65,57.51,38.74,45.11,37.11,0,71.81,46.56,NA,0,69.98,49.645,"LV"
"15","01-15",49.99,59.88,54.58,69.38,62.19,56.99,38.46,44.67,36.86,55.49,71.06,45.91,NA,36.86,69.38,53.7883333333333,"LV"
"16","01-16",49.48,59.32,53.83,68.74,61.77,56.49,38.13,44.15,36.65,54.97,70.29,45.35,NA,36.65,68.74,53.2641666666667,"LV"
"17","01-17",49.07,58.77,53.06,68.08,61.38,56.03,37.84,43.58,36.45,54.44,69.54,44.6,NA,36.45,68.08,52.7366666666667,"LV"
"18","01-18",48.66,58.21,52.23,67.41,60.98,55.54,37.57,43.04,36.21,53.9,68.72,43.76,NA,36.21,67.41,52.1858333333333,"LV"
"19","01-19",48.37,57.61,51.38,66.71,60.51,55.06,37.33,42.48,36.04,53.38,68.01,42.98,NA,36.04,66.71,51.655,"LV"
"20","01-20",47.93,56.95,50.61,65.96,60,54.56,37.08,42.04,35.85,52.82,67.28,42.23,NA,35.85,65.96,51.1091666666667,"LV"
"21","01-21",47.44,56.29,49.84,65.21,59.48,54.03,36.84,41.6,35.57,52.3,66.7,41.38,NA,35.57,65.21,50.5566666666667,"LV"
"22","01-22",46.96,55.65,49.05,64.44,58.96,53.48,36.6,41.09,35.21,51.77,66.17,40.47,NA,35.21,64.44,49.9875,"LV"
"23","01-23",46.44,55,48.31,63.59,58.46,52.95,36.35,40.59,34.87,51.19,65.68,39.65,NA,34.87,63.59,49.4233333333333,"LV"
"24","01-24",45.93,54.32,47.59,62.72,57.98,52.51,36.08,40.16,34.53,50.66,65.21,38.82,NA,34.53,62.72,48.8758333333333,"LV"
"25","01-25",45.44,53.58,46.84,61.95,57.51,51.9,35.78,39.77,34.14,50.13,64.82,38.1,NA,34.14,61.95,48.33,"LV"
"26","01-26",44.88,52.73,46.12,61.21,57.02,51.35,35.52,39.38,33.78,49.61,64.29,37.34,NA,33.78,61.21,47.7691666666667,"LV"
"27","01-27",44.44,51.8,45.37,60.44,56.53,50.86,35.28,39.04,33.42,49.08,63.75,36.65,NA,33.42,60.44,47.2216666666667,"LV"
"28","01-28",43.97,50.82,44.64,59.65,56.03,50.43,35.05,38.77,33.03,48.49,63.24,36,NA,33.03,59.65,46.6766666666667,"LV"
"29","01-29",43.54,49.88,44.01,58.85,55.56,50.03,34.83,38.56,32.67,47.91,62.73,35.39,NA,32.67,58.85,46.1633333333333,"LV"
"30","01-30",43.1,49.08,43.42,58.01,55.12,49.65,34.56,38.29,32.26,47.41,62.23,34.77,NA,32.26,58.01,45.6583333333333,"LV"
"31","01-31",42.63,48.24,42.86,57.23,54.71,49.26,34.29,38.03,31.86,46.87,61.73,34.07,NA,31.86,57.23,45.1483333333333,"LV"
