"","Maand_Dag","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","Historical_Min","Historical_Max","Historical_Mean","Naam"
"1","01-01",81.13,91.47,88.83,87.93,69.58,72.71,59.16,64.06,81.02,75.93,68.99,35.93,77.23,59.16,91.47,73.0616666666667,"NL"
"2","01-02",80.82,91.45,88.52,87.92,69.5,72.29,58.37,63.69,80.63,75.52,68.29,36.07,77.14,58.37,91.45,72.7558333333333,"NL"
"3","01-03",80.42,91.42,88.24,87.83,69.33,71.79,57.53,63.3,80.27,75.33,67.56,36.05,77.08,57.53,91.42,72.4225,"NL"
"4","01-04",79.95,91.31,87.88,87.77,69.15,71.06,56.78,62.96,79.77,75.05,66.64,35.89,77.01,56.78,91.31,72.0175,"NL"
"5","01-05",79.49,91.12,87.53,87.71,68.76,70.42,55.88,62.48,79.53,74.75,65.82,35.64,76.87,55.88,91.12,71.5941666666667,"NL"
"6","01-06",79.02,90.94,87.17,87.59,68.19,69.86,54.78,62.03,79.27,74.41,64.85,35.32,76.8,54.78,90.94,71.1191666666667,"NL"
"7","01-07",78.66,90.84,86.77,87.59,67.7,69.29,53.9,61.35,78.78,74.03,63.85,35.06,76.74,53.9,90.84,70.6516666666667,"NL"
"8","01-08",78.45,90.71,86.41,87.52,67.37,68.72,53.2,60.45,78.52,73.75,62.94,34.78,76.69,53.2,90.71,70.235,"NL"
"9","01-09",78.26,90.46,85.94,87.46,67.21,68.28,52.43,59.46,78.01,73.48,62.13,34.52,NA,52.43,90.46,69.8033333333333,"NL"
"10","01-10",77.93,90.19,85.32,87.35,66.99,67.91,51.76,58.67,77.39,73.15,61.39,34.15,NA,51.76,90.19,69.35,"NL"
"11","01-11",77.59,89.99,84.6,87.16,66.64,67.33,51.08,57.98,77.08,72.82,60.5,33.73,NA,51.08,89.99,68.875,"NL"
"12","01-12",77.22,89.85,84.14,86.99,66.33,66.86,50.41,57.23,76.92,72.47,59.73,33.22,NA,50.41,89.85,68.4475,"NL"
"13","01-13",76.94,89.68,83.63,86.79,66.02,66.29,49.59,56.65,76.82,72.06,58.89,32.79,NA,49.59,89.68,68.0125,"NL"
"14","01-14",76.63,89.54,82.97,86.59,65.45,65.63,48.88,56.03,75.37,71.77,58.01,32.38,NA,48.88,89.54,67.4375,"NL"
"15","01-15",76.32,89.33,82.3,86.23,64.87,65,48.18,55.29,75.9,71.46,57.07,31.95,NA,48.18,89.33,66.9916666666667,"NL"
"16","01-16",76.07,88.91,81.44,86.03,64.37,64.41,47.24,54.55,75.1,71.14,56.09,31.6,NA,47.24,88.91,66.4125,"NL"
"17","01-17",75.75,88.33,80.53,85.83,63.95,63.72,46.05,53.69,74.15,70.84,55.23,31.17,NA,46.05,88.33,65.77,"NL"
"18","01-18",75.39,87.86,79.68,85.77,63.47,62.76,44.92,52.86,73.15,70.45,54.36,30.78,NA,44.92,87.86,65.1208333333333,"NL"
