"","Maand_Dag","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","Historical_Min","Historical_Max","Historical_Mean","Naam"
"1","01-01",55.99,70.36,76.5,76.55,90.48,68.86,62.16,69.89,71.37,90.38,79.26,65.91,93.39,55.99,90.48,73.1425,"ES"
"2","01-02",55.58,70.25,76.25,76.41,90.1,68.85,62.1,69.88,71.28,90.29,78.93,65.91,93.52,55.58,90.29,72.9858333333333,"ES"
"3","01-03",55.17,70.12,75.83,76.14,89.75,68.84,61.81,69.86,71.13,90.08,78.57,65.91,93.58,55.17,90.08,72.7675,"ES"
"4","01-04",54.76,69.98,75.41,75.94,89.44,68.82,61.51,69.85,70.84,89.85,78.16,65.91,93.64,54.76,89.85,72.5391666666667,"ES"
"5","01-05",54.39,69.79,75,75.8,89.07,68.81,61.37,69.84,70.64,89.63,77.73,65.91,93.7,54.39,89.63,72.3316666666667,"ES"
"6","01-06",54.09,69.6,74.58,75.66,88.64,68.8,61.31,69.82,70.46,89.4,77.32,65.91,93.76,54.09,89.4,72.1325,"ES"
"7","01-07",53.78,69.43,74.17,75.52,88.2,68.78,61.26,69.81,70.28,89.13,76.92,65.91,93.82,53.78,89.13,71.9325,"ES"
"8","01-08",53.59,69.3,73.76,75.32,87.77,68.78,61.09,69.63,70.04,88.77,76.56,65.91,93.88,53.59,88.77,71.71,"ES"
"9","01-09",53.46,69.14,73.36,75.06,87.33,68.78,60.71,69.36,69.78,88.37,76.24,65.91,93.83,53.46,88.37,71.4583333333333,"ES"
"10","01-10",53.19,68.95,72.91,74.76,86.89,68.78,60.28,69.11,69.53,87.97,75.95,65.85,93.75,53.19,87.97,71.1808333333333,"ES"
"11","01-11",52.89,68.68,72.46,74.41,86.46,68.78,59.86,68.99,69.32,87.57,75.61,65.65,93.6,52.89,87.57,70.89,"ES"
"12","01-12",52.54,68.27,72.05,74.11,86.06,68.67,59.52,68.81,69.13,87.17,74.87,65.39,93.56,52.54,87.17,70.5491666666667,"ES"
"13","01-13",52.14,67.88,71.65,73.93,85.64,68.34,59.33,68.61,68.96,86.67,74.87,65.1,93.56,52.14,86.67,70.26,"ES"
"14","01-14",51.75,67.48,71.24,73.85,85.22,67.91,59.19,68.49,68.65,86.1,74.58,64.77,93.56,51.75,86.1,69.9358333333333,"ES"
"15","01-15",51.35,67.08,70.83,73.81,84.81,67.48,58.92,68.4,68.31,85.49,74.2,64.44,93.56,51.35,85.49,69.5933333333333,"ES"
"16","01-16",50.95,66.68,70.43,73.76,84.39,67.05,58.63,68.31,67.97,84.94,73.83,64.1,NA,50.95,84.94,69.2533333333333,"ES"
"17","01-17",50.55,66.29,70.02,73.7,83.99,66.63,58.37,68.21,67.63,84.39,73.46,63.74,NA,50.55,84.39,68.915,"ES"
"18","01-18",50.16,65.89,69.62,73.66,83.58,66.21,58.03,68.11,67.3,83.85,73.1,63.39,NA,50.16,83.85,68.575,"ES"
"19","01-19",49.77,65.5,69.33,73.62,83.18,65.8,57.66,68.02,67.06,83.3,72.73,63.03,NA,49.77,83.3,68.25,"ES"
"20","01-20",49.37,65.11,69.19,73.57,82.77,65.39,57.3,67.95,66.85,82.76,72.43,62.8,NA,49.37,82.77,67.9575,"ES"
"21","01-21",48.98,64.8,68.96,73.48,82.37,64.98,56.95,67.92,66.59,82.22,72.1,62.57,NA,48.98,82.37,67.66,"ES"
"22","01-22",48.59,64.58,68.54,73.43,81.98,64.59,56.6,67.91,66.31,81.69,71.88,62.33,NA,48.59,81.98,67.3691666666667,"ES"
"23","01-23",48.19,64.23,68.11,73.38,81.59,64.27,56.24,67.86,66.1,81.17,71.66,62.1,NA,48.19,81.59,67.075,"ES"
"24","01-24",47.8,63.84,67.67,73.33,81.2,64.11,55.89,67.79,65.96,80.77,71.39,61.89,NA,47.8,81.2,66.8033333333333,"ES"
"25","01-25",47.41,63.46,67.24,73.28,80.81,63.98,55.59,67.7,65.91,80.42,71.12,61.69,NA,47.41,80.81,66.5508333333333,"ES"
"26","01-26",47.02,63.07,66.81,73.24,80.42,63.89,55.48,67.63,65.9,80.06,70.96,61.54,NA,47.02,80.42,66.335,"ES"
"27","01-27",46.63,62.69,66.57,73.18,80.03,63.82,55.48,67.56,65.89,79.81,70.78,61.28,NA,46.63,80.03,66.1433333333333,"ES"
"28","01-28",46.24,62.3,66.39,73.14,79.64,63.74,55.48,67.48,65.87,79.66,70.59,60.98,NA,46.24,79.66,65.9591666666667,"ES"
"29","01-29",45.85,61.92,66.12,73.09,79.25,63.66,55.48,67.37,65.86,79.47,70.66,60.69,NA,45.85,79.47,65.785,"ES"
"30","01-30",45.47,61.53,65.84,73.03,78.87,63.57,55.48,67.24,65.73,79.19,70.65,60.39,NA,45.47,79.19,65.5825,"ES"
"31","01-31",45.08,61.14,65.6,72.98,78.49,63.5,55.48,67.08,65.6,78.86,70.65,60.12,NA,45.08,78.86,65.3816666666667,"ES"
"32","02-01",44.7,60.76,65.5,72.93,78.11,63.42,55.48,66.89,65.52,78.53,70.65,59.89,NA,44.7,78.53,65.1983333333333,"ES"
"33","02-02",44.32,60.38,65.44,72.88,77.74,63.34,55.48,66.62,65.45,78.21,70.65,59.67,NA,44.32,78.21,65.015,"ES"
"34","02-03",43.96,59.99,65.39,72.74,77.37,63.27,55.47,66.32,65.36,77.9,70.65,59.45,NA,43.96,77.9,64.8225,"ES"
"35","02-04",43.62,59.61,65.28,72.53,77,63.15,55.47,66.03,65.25,77.69,70.49,59.27,NA,43.62,77.69,64.6158333333333,"ES"
"36","02-05",43.29,59.23,65.11,72.32,76.63,63.03,55.47,65.59,65.13,77.53,70.24,59.11,NA,43.29,77.53,64.39,"ES"
