"","Maand_Dag","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","Historical_Min","Historical_Max","Historical_Mean","Naam"
"1","01-01",77.5,55.9,44.79,33.29,56.8,40.23,35.15,55.65,49.23,95.57,81.3,51.02,70.13,33.29,95.57,56.3691666666667,"HU"
"2","01-02",76.96,55.63,44.46,33.12,56.35,39.79,34.68,55.39,48.86,95.09,80.89,50.6,69.9,33.12,95.09,55.985,"HU"
"3","01-03",76.37,55.39,44.19,32.93,55.95,39.26,34.31,55.12,48.35,94.62,80.46,50.13,69.56,32.93,94.62,55.59,"HU"
"4","01-04",75.77,55.14,44.02,32.75,55.54,38.63,33.89,54.88,47.8,94.16,80,49.65,69.18,32.75,94.16,55.1858333333333,"HU"
"5","01-05",75.17,54.86,43.9,32.59,55.09,37.97,33.45,54.67,47.28,93.68,79.59,49.2,68.74,32.59,93.68,54.7875,"HU"
"6","01-06",74.59,54.58,43.7,32.44,54.53,37.43,32.85,54.51,46.74,93.15,79.11,48.65,68.32,32.44,93.15,54.3566666666667,"HU"
"7","01-07",74.09,54.35,43.41,32.24,53.92,36.96,33.66,54.35,46.13,92.63,78.66,48.06,68,32.24,92.63,54.0383333333333,"HU"
"8","01-08",73.7,54.12,43.07,32.03,53.3,36.48,33,54.16,45.52,92.12,78.13,47.5,67.68,32.03,92.12,53.5941666666667,"HU"
"9","01-09",73.29,53.82,42.74,31.82,52.78,36.11,32.38,53.93,44.95,91.61,77.65,46.92,67.36,31.82,91.61,53.1666666666667,"HU"
"10","01-10",72.85,53.51,42.4,31.6,52.43,35.75,31.74,53.65,44.39,91.13,77.12,46.3,67,31.6,91.13,52.7391666666667,"HU"
"11","01-11",72.46,53.2,42.1,31.4,52.08,35.38,31.14,53.37,43.83,90.72,76.54,45.6,66.57,31.14,90.72,52.3183333333333,"HU"
"12","01-12",72.07,52.93,41.83,31.2,51.62,35.05,30.63,53.03,43.34,90.29,75.95,44.86,66.14,30.63,90.29,51.9,"HU"
"13","01-13",71.66,52.64,41.57,30.98,51.2,34.72,30.22,52.65,42.9,89.79,75.3,44.17,65.75,30.22,89.79,51.4833333333333,"HU"
"14","01-14",71.31,52.36,41.22,30.77,50.75,34.38,29.9,52.22,42.46,89.27,74.68,43.59,65.41,29.9,89.27,51.0758333333333,"HU"
"15","01-15",71.03,52.02,40.94,30.56,50.37,33.99,29.58,51.7,41.98,88.76,73.98,43.06,65.08,29.58,88.76,50.6641666666667,"HU"
"16","01-16",70.68,51.59,40.67,30.36,49.96,33.63,29.19,51.2,41.57,88.24,73.33,42.5,NA,29.19,88.24,50.2433333333333,"HU"
"17","01-17",70.23,51.16,40.34,30.19,49.62,33.21,28.88,50.81,41.15,87.7,72.64,41.89,NA,28.88,87.7,49.8183333333333,"HU"
"18","01-18",69.79,50.74,40,30.08,49.28,32.68,28.55,50.43,40.72,87.19,71.91,41.26,NA,28.55,87.19,49.3858333333333,"HU"
"19","01-19",69.33,50.34,39.72,29.97,48.91,32.12,28.16,50,40.27,86.69,71.26,40.63,NA,28.16,86.69,48.95,"HU"
"20","01-20",68.85,50.03,39.47,29.86,48.56,31.61,27.73,49.58,39.77,86.17,70.71,40.01,NA,27.73,86.17,48.5291666666667,"HU"
"21","01-21",68.33,49.75,39.2,29.71,48.22,31.13,27.32,49.15,39.22,85.71,70.27,39.36,NA,27.32,85.71,48.1141666666667,"HU"
"22","01-22",67.81,49.51,38.88,29.5,47.91,30.57,27,48.65,38.66,85.24,69.89,38.74,NA,27,85.24,47.6966666666667,"HU"
"23","01-23",67.31,49.23,38.54,29.23,47.58,30.04,26.62,48.21,38.11,84.8,69.55,38.1,NA,26.62,84.8,47.2766666666667,"HU"
"24","01-24",66.75,48.92,38.19,28.95,47.23,29.55,26.26,47.7,37.58,84.34,69.17,37.37,NA,26.26,84.34,46.8341666666667,"HU"
"25","01-25",66.14,48.54,37.85,28.65,46.8,29.09,25.9,47.19,37,83.91,68.72,36.66,NA,25.9,83.91,46.3708333333333,"HU"
"26","01-26",65.57,48.12,37.47,28.27,46.32,28.7,25.56,46.7,36.48,83.49,68.2,36.03,NA,25.56,83.49,45.9091666666667,"HU"
"27","01-27",64.98,47.68,37.05,27.87,45.81,28.31,25.19,46.27,36.02,83.05,67.65,35.47,NA,25.19,83.05,45.4458333333333,"HU"
"28","01-28",64.36,47.31,36.65,27.53,45.36,27.97,24.83,45.88,35.53,81.2,67.11,34.96,NA,24.83,81.2,44.8908333333333,"HU"
"29","01-29",63.77,46.91,36.27,27.21,44.85,27.66,24.37,45.46,35.12,80.74,66.61,34.49,NA,24.37,80.74,44.455,"HU"
