"","Maand_Dag","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","Historical_Min","Historical_Max","Historical_Mean","Naam"
"1","01-01",80.13,80.28,83.17,76.12,79.76,80.44,76.67,73.45,74.19,80.08,74.27,65.04,82.49,73.45,83.17,76.9666666666667,"IT"
"2","01-02",79.94,79.88,82.74,75.86,79.18,79.91,76,73.1,73.95,79.51,73.9,64.55,82.27,73.1,82.74,76.5433333333333,"IT"
"3","01-03",79.48,79.44,82.32,75.61,78.71,79.44,75.32,72.65,73.34,78.91,73.5,64,82.01,72.65,82.32,76.06,"IT"
"4","01-04",78.88,78.99,81.99,75.42,78.36,78.87,74.7,72.19,72.71,78.32,72.98,63.48,81.94,72.19,81.99,75.5741666666667,"IT"
"5","01-05",78.36,78.65,81.87,75.33,77.83,78.27,74.05,71.77,72.09,77.8,72.34,62.95,81.8,71.77,81.87,75.1091666666667,"IT"
"6","01-06",77.98,78.42,81.74,75.12,77.25,77.67,73.45,71.54,71.47,77.17,71.77,62.92,81.69,71.47,81.74,74.7083333333333,"IT"
"7","01-07",77.74,78.2,81.48,74.59,76.59,76.96,72.78,71.27,70.84,76.52,71.13,62.37,81.59,70.84,81.48,74.2058333333333,"IT"
"8","01-08",77.45,78.01,81.08,74.08,75.89,76.31,72.01,70.79,70.2,75.87,70.53,61.81,81.48,70.2,81.08,73.6691666666667,"IT"
"9","01-09",77.24,77.52,80.62,73.6,75.31,75.79,71.23,70.27,69.56,75.22,69.92,61.26,81.14,69.56,80.62,73.1283333333333,"IT"
"10","01-10",76.8,77.01,80.19,73.15,75.04,75.39,70.45,69.74,68.93,74.57,69.39,60.7,80.77,68.93,80.19,72.6133333333333,"IT"
"11","01-11",76.46,76.52,79.76,72.92,74.77,74.81,69.73,69.14,68.88,73.96,68.74,60.15,80.38,68.88,79.76,72.1533333333333,"IT"
"12","01-12",76.06,75.99,79.5,72.71,74.28,74.25,69.08,68.56,68.84,73.38,68.1,59.59,79.68,68.56,79.5,71.695,"IT"
"13","01-13",75.58,75.51,79.25,72.18,73.67,73.68,68.45,68.1,68.81,72.73,67.47,59.03,79.62,68.1,79.25,71.205,"IT"
"14","01-14",75.08,75.21,78.6,71.55,73.05,72.86,67.91,67.61,68.77,72.08,66.83,58.47,79.31,67.61,78.6,70.6683333333333,"IT"
"15","01-15",74.9,74.84,77.96,70.93,72.43,72.14,67.35,66.96,65.9,71.43,66.19,57.93,79.02,65.9,77.96,69.9133333333333,"IT"
