"","Maand_Dag","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","Historical_Min","Historical_Max","Historical_Mean","Naam"
"1","01-01",81.38,66.92,92.32,89.59,75.41,58.35,74.58,77.7,70.15,91.72,73.82,84.66,96.66,58.35,92.32,78.05,"PL"
"2","01-02",81.09,66.29,92.09,89.47,75.04,57.6,74,77.43,69.89,90.97,73.3,84.91,96.79,57.6,92.09,77.6733333333333,"PL"
"3","01-03",80.1,65.8,91.77,89.33,74.65,56.73,73.29,77.03,69.47,90.23,72.78,85.1,96.9,56.73,91.77,77.19,"PL"
"4","01-04",78.82,65.36,91.62,89.2,74.23,55.64,72.62,76.72,69.12,89.54,72.16,85.21,96.8,55.64,91.62,76.6866666666667,"PL"
"5","01-05",77.11,64.99,91.4,89.09,73.78,54.58,71.76,76.43,68.99,88.47,71.6,85.3,96.5,54.58,91.4,76.125,"PL"
"6","01-06",75.83,64.68,91.18,89.03,73.32,53.72,70.75,76.21,68.76,87.41,71.12,84.75,96.42,53.72,91.18,75.5633333333333,"PL"
"7","01-07",75.26,64.3,90.94,88.92,72.7,52.98,69.67,75.9,68.42,86.24,70.68,84.05,96.34,52.98,90.94,75.005,"PL"
"8","01-08",75.26,63.99,90.57,88.8,72.21,52.33,68.73,75.37,68.08,85.35,70.2,83.35,96.24,52.33,90.57,74.52,"PL"
"9","01-09",75.69,63.56,90.18,88.64,71.81,51.97,67.73,74.8,67.59,84.49,69.79,82.72,96.15,51.97,90.18,74.0808333333333,"PL"
"10","01-10",75.4,63.18,89.86,88.44,71.37,51.54,66.74,74.21,67.04,83.84,69.36,81.85,96.02,51.54,89.86,73.5691666666667,"PL"
"11","01-11",74.98,62.87,89.58,88.22,70.89,51.11,65.9,73.63,66.5,83.29,68.75,80.94,95.92,51.11,89.58,73.055,"PL"
"12","01-12",74.69,62.13,89.18,87.99,70.4,51,65.11,73.03,66.13,82.78,68.06,80.15,95.82,51,89.18,72.5541666666667,"PL"
"13","01-13",74.55,61.38,88.76,87.76,70.07,50.97,64.5,72.42,65.99,82.11,67.43,79.51,95.67,50.97,88.76,72.1208333333333,"PL"
"14","01-14",74.55,60.76,88.44,87.47,69.8,50.87,63.99,71.75,65.67,81.43,66.8,78.82,95.58,50.87,88.44,71.6958333333333,"PL"
"15","01-15",74.98,59.83,88.16,87.18,71.45,50.5,63.47,70.89,65.03,80.79,66.15,78.22,95.48,50.5,88.16,71.3875,"PL"
