"","Maand_Dag","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","Historical_Min","Historical_Max","Historical_Mean","Naam"
"1","01-01",55.83,75.87,70.29,56.6,68.85,59.8,56.89,62.97,63.22,96.93,77.2,34.84,87.45,55.83,96.93,64.9408333333333,"AT"
"2","01-02",55.5,78.63,69.86,56.37,68.3,59.45,56.3,62.47,62.87,96.52,76.71,35.02,87.59,55.5,96.52,64.8333333333333,"AT"
"3","01-03",54.96,78.36,69.51,56.24,67.92,59.09,55.59,62,62.56,96.23,76.13,35.05,87.78,54.96,96.23,64.47,"AT"
"4","01-04",54.42,78.11,69.27,56.25,67.51,58.65,54.86,61.61,62.07,95.98,75.34,34.94,87.79,54.42,95.98,64.0841666666667,"AT"
"5","01-05",53.81,77.76,68.91,56.3,66.88,58.29,54.13,61.2,61.73,95.69,74.47,34.87,87.68,53.81,95.69,63.67,"AT"
"6","01-06",53.28,77.36,68.49,56.25,66.46,58.02,53.43,60.84,61.52,95.32,73.66,34.53,87.81,53.28,95.32,63.2633333333333,"AT"
"7","01-07",52.94,77.02,67.83,56.06,65.88,57.58,52.74,60.48,61.05,94.76,72.71,34.11,87.93,52.74,94.76,62.7633333333333,"AT"
"8","01-08",52.76,76.73,67.25,55.84,65.37,57.25,52.12,59.99,60.59,94.41,71.76,33.8,88.03,52.12,94.41,62.3225,"AT"
"9","01-09",52.56,76.39,66.62,55.62,65.03,57.02,51.36,59.51,59.98,94.02,70.98,33.52,87.89,51.36,94.02,61.8841666666667,"AT"
"10","01-10",52.2,76.07,66.01,55.44,64.79,56.83,50.59,58.9,59.27,93.68,70.22,32.81,87.74,50.59,93.68,61.4008333333333,"AT"
"11","01-11",51.85,75.68,65.37,55.41,64.41,56.53,49.83,58.23,58.6,93.44,69.26,32.16,NA,49.83,93.44,60.8975,"AT"
"12","01-12",51.63,75.41,64.84,55.31,63.91,56.21,49.09,57.52,58.38,93.13,68.29,31.44,NA,49.09,93.13,60.43,"AT"
"13","01-13",51.47,75.07,64.26,54.85,63.4,55.87,48.4,56.87,58.24,92.7,67.35,30.72,NA,48.4,92.7,59.9333333333333,"AT"
"14","01-14",51.38,74.81,63.47,54.51,62.9,55.51,47.81,56.19,57.93,92.21,66.43,30.09,NA,47.81,92.21,59.4366666666667,"AT"
"15","01-15",51.42,74.5,62.77,54.17,62.41,55.05,47.24,55.34,57.49,91.74,65.52,29.71,NA,47.24,91.74,58.9466666666667,"AT"
"16","01-16",51.42,74.07,62.05,53.87,61.91,54.72,46.49,54.57,57.09,91.33,64.68,29.39,NA,46.49,91.33,58.4658333333333,"AT"
"17","01-17",51.16,73.68,61.31,53.64,60.83,54.38,45.8,53.9,56.79,90.95,63.85,28.88,NA,45.8,90.95,57.9308333333333,"AT"
"18","01-18",50.99,73.32,60.67,53.47,60.27,53.73,45.06,53.24,56.29,90.63,62.89,28.25,NA,45.06,90.63,57.4008333333333,"AT"
"19","01-19",50.71,73.17,60.11,53.35,59.56,53,44.32,52.67,55.91,90.33,62.03,27.67,NA,44.32,90.33,56.9025,"AT"
"20","01-20",50.45,73,59.72,52.95,58.92,52.31,43.55,52.2,55.52,89.84,61.2,27.06,NA,43.55,89.84,56.3933333333333,"AT"
"21","01-21",50.24,72.84,59.13,52.39,58.24,51.65,42.88,51.7,54.95,89.34,60.46,26.4,NA,42.88,89.34,55.8516666666667,"AT"
"22","01-22",49.9,72.61,58.45,51.84,57.66,51.02,42.24,51.08,54.21,88.86,59.83,26.01,NA,42.24,88.86,55.3091666666667,"AT"
"23","01-23",49.54,72.38,57.77,51.23,56.97,50.6,41.44,50.52,53.42,88.32,59.27,25.69,NA,41.44,88.32,54.7625,"AT"
"24","01-24",49.1,72.18,56.96,50.58,56.36,50.25,40.69,49.92,52.73,87.79,58.66,25.08,NA,40.69,87.79,54.1916666666667,"AT"
"25","01-25",48.82,71.85,56.17,50.03,55.7,49.81,39.96,49.19,52.1,87.41,57.78,24.43,NA,39.96,87.41,53.6041666666667,"AT"
"26","01-26",48.54,71.46,55.51,49.6,54.86,49.42,39.25,48.6,51.7,87.02,56.96,23.79,NA,39.25,87.02,53.0591666666667,"AT"
"27","01-27",48.34,71.1,54.89,49.08,53.98,49.08,38.57,48.15,51.44,86.53,56.08,23.26,NA,38.57,86.53,52.5416666666667,"AT"
"28","01-28",47.82,70.86,54.28,48.54,53.13,48.73,38.04,47.76,50.83,86.08,55.33,22.78,NA,38.04,86.08,52.015,"AT"
"29","01-29",47.36,70.59,53.65,47.98,52.24,48.43,37.5,47.27,50.37,85.66,54.75,22.74,NA,37.5,85.66,51.545,"AT"
"30","01-30",46.91,70.26,53.28,47.35,51.33,48.2,36.82,46.75,49.8,85.16,54.26,22.68,NA,36.82,85.16,51.0666666666667,"AT"
"31","01-31",46.29,69.59,52.87,46.84,50.47,47.98,36.09,46.05,49.24,84.78,53.69,22.25,NA,36.09,84.78,50.5116666666667,"AT"
"32","02-01",45.61,68.76,52.38,46.4,49.77,47.67,36.06,45.45,48.83,84.72,52.87,22.01,NA,36.06,84.72,50.0441666666667,"AT"
"33","02-02",44.96,67.86,51.91,45.95,48.95,47.35,35.32,44.95,48.58,84.68,52.1,21.71,NA,35.32,84.68,49.5266666666667,"AT"
"34","02-03",44.42,66.91,51.43,45.37,48.12,46.99,34.71,44.41,48.35,84.52,51.55,21.51,NA,34.71,84.52,49.0241666666667,"AT"
