"","Maand_Dag","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","Historical_Min","Historical_Max","Historical_Mean","Naam"
"1","01-01",63.41,65.81,50.85,60.92,77.82,57.46,77.3,41.99,50.62,83.77,76.42,60.98,88.38,41.99,83.77,63.95,"België"
"2","01-02",63.17,65.79,50.88,60.95,77.42,57.26,75.91,41.42,50.05,83.31,75.07,60.69,88.5,41.42,83.31,63.49,"België"
"3","01-03",62.93,65.7,50.85,61.04,76.85,57.08,74.76,41.03,49.28,82.74,73.87,60.29,88.66,41.03,82.74,63.03,"België"
"4","01-04",62.66,65.25,50.77,61.31,75.98,56.23,73.72,40.95,48.44,82.13,72.27,59.84,88.93,40.95,82.13,62.46,"België"
"5","01-05",62.07,64.88,50.77,61.71,75.91,55.84,72.89,40.59,48.25,81.59,70.89,58.82,88.66,40.59,81.59,62.02,"België"
"6","01-06",61.68,64.24,50.78,61.82,75.27,55.58,71.88,40.21,48.12,80.8,69.54,57.97,89.14,40.21,80.8,61.49,"België"
"7","01-07",61.42,63.45,50.79,61.98,74.12,55.54,70.67,39.54,48.15,80.21,68.29,57.24,89.13,39.54,80.21,60.95,"België"
"8","01-08",61.37,63.11,51.1,61.98,73.47,55.41,69.86,37.88,48.13,79.72,66.84,56.39,89.09,37.88,79.72,60.44,"België"
"9","01-09",61.36,62.6,50.72,61.96,72.55,55.37,68.8,36.34,48.01,79.26,65.64,55.73,88.86,36.34,79.26,59.86,"België"
"10","01-10",61.38,62.17,50.51,61.77,72.21,55.35,67.87,35.17,47.38,78.79,64.53,54.84,88.96,35.17,78.79,59.33,"België"
"11","01-11",61.36,61.59,50.26,61.61,71.89,55.21,67.03,33.99,47.25,78.34,63.17,54.05,89.26,33.99,78.34,58.81,"België"
"12","01-12",60.99,61.08,50.02,61.59,71.55,54.98,66.11,33.68,47.34,77.88,61.56,53.14,89.42,33.68,77.88,58.33,"België"
"13","01-13",60.34,60.43,49.82,61.58,70.95,54.41,64.83,33.45,47.82,77.42,60.5,52.2,89.38,33.45,77.42,57.81,"België"
"14","01-14",59.39,59.95,49.54,61.03,70.16,53.49,63.88,33.24,47.62,76.87,59.22,51.07,88.58,33.24,76.87,57.12,"België"
"15","01-15",58.54,59.87,49.21,60.67,69.2,52.31,63.22,32.68,47.45,76.1,57.87,49.83,87.66,32.68,76.1,56.41,"België"
"16","01-16",58.53,59.34,48.91,60.03,68.04,51.9,61.91,32.48,47.35,74.95,56.88,49.05,86.94,32.48,74.95,55.78,"België"
"17","01-17",58.51,59.27,48.01,59.6,67.63,51.17,61.04,32.15,46.83,73.77,56.33,48.15,85.34,32.15,73.77,55.2,"België"
"18","01-18",58.46,58.96,47.07,59.03,67.27,50.13,59.63,31.45,45.85,73.26,55.14,47.14,NA,31.45,73.26,54.45,"België"
"19","01-19",58.4,58.29,46.65,59.01,66.9,49,58.48,30.81,45,72.37,54.24,46.18,NA,30.81,72.37,53.78,"België"
"20","01-20",58.31,57.83,46.27,58.7,65.72,47.92,57.29,30.07,44.09,71.69,53.48,45.07,NA,30.07,71.69,53.04,"België"
"21","01-21",58.04,57.34,45.86,58.05,64.88,46.87,56.21,29.4,43.01,70.93,52.72,44.26,NA,29.4,70.93,52.3,"België"
"22","01-22",57.3,57.22,45.37,57.51,63.6,45.98,54.87,28.4,42.02,70.22,52.11,43.16,NA,28.4,70.22,51.48,"België"
