"","Maand_Dag","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","Historical_Min","Historical_Max","Historical_Mean","Naam"
"1","01-01",60.74,87.66,74.19,73.24,78.25,79.2,66.17,65.03,75.64,96.91,73.09,50.4,90.52,60.74,96.91,73.38,"Duitsland"
"2","01-02",60.56,87.18,73.84,73.14,77.67,79.04,65.83,64.75,75.41,96.53,72.57,50.62,90.64,60.56,96.53,73.1,"Duitsland"
"3","01-03",60.16,87,73.44,72.99,77.25,78.79,65.07,64.43,74.88,96.28,71.97,50.66,90.72,60.16,96.28,72.74,"Duitsland"
"4","01-04",59.46,86.83,73.25,72.99,76.78,78.36,64.32,64.13,74.51,96.12,71.06,50.52,90.75,59.46,96.12,72.36,"Duitsland"
"5","01-05",58.79,86.71,72.95,72.96,76.07,77.87,63.26,63.86,74.38,95.94,70.03,50.06,90.81,58.79,95.94,71.91,"Duitsland"
"6","01-06",58.31,86.6,72.68,72.79,75.51,77.45,62.15,63.67,74.25,95.63,69.06,49.55,90.97,58.31,95.63,71.47,"Duitsland"
"7","01-07",57.99,86.52,72.17,72.67,74.94,77.03,61.19,63.3,74.03,95.25,67.87,49.02,91.09,57.99,95.25,71,"Duitsland"
"8","01-08",58.08,86.4,71.85,72.51,74.46,76.74,60.43,62.66,73.92,94.86,66.67,48.65,91.2,58.08,94.86,70.6,"Duitsland"
"9","01-09",58.27,86.21,71.41,72.39,74.1,76.54,59.48,62.06,73.5,94.69,65.57,48.27,91.11,58.27,94.69,70.21,"Duitsland"
"10","01-10",57.89,86.01,71.02,72.21,73.88,76.39,58.56,61.51,72.95,94.54,64.51,47.42,91.01,57.89,94.54,69.74,"Duitsland"
"11","01-11",57.47,85.85,70.48,72.02,73.52,76.07,57.75,60.93,72.54,94.34,63.31,46.5,90.73,57.47,94.34,69.23,"Duitsland"
"12","01-12",57.09,85.71,70.14,71.8,73,75.75,56.91,60.43,72.36,94.09,62.09,45.63,90.64,56.91,94.09,68.75,"Duitsland"
