"","Maand_Dag","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","Historical_Min","Historical_Max","Historical_Mean","Naam"
"1","01-01",74.07,87.2,74.56,92.78,89.43,81.64,72.77,81.55,84.93,94.97,88.04,71.44,90.97,72.77,94.97,82.7816666666667,"DK"
"2","01-02",73.8,87.2,74.23,92.68,89.19,81.24,72.32,80.87,83.82,94.65,87.58,71.52,91.01,72.32,94.65,82.425,"DK"
"3","01-03",72.81,87.1,73.88,92.62,88.75,80.52,72.14,80.14,82.96,94.38,87.22,71.53,90.79,72.14,94.38,82.0041666666667,"DK"
"4","01-04",71.82,87.05,73.66,92.44,88.33,79.58,71,79.33,82.71,94,86.63,71.04,91.12,71,94,81.4658333333333,"DK"
"5","01-05",70.98,87.05,73.43,92.24,87.86,78.71,69.65,78.6,82.67,93.68,85.99,70.75,91.12,69.65,93.68,80.9675,"DK"
"6","01-06",70.75,87.05,73.45,91.86,87.37,77.84,68.61,77.72,82.27,93.32,85.36,70.3,91.25,68.61,93.32,80.4916666666667,"DK"
"7","01-07",70.53,87.1,73.02,91.78,86.86,77.14,68.15,76.81,81.31,92.96,84.68,69.77,91.49,68.15,92.96,80.0091666666667,"DK"
"8","01-08",70.41,87.16,72.69,91.77,86.34,76.54,67.85,75.45,79.97,92.52,83.79,69.57,91.63,67.85,92.52,79.505,"DK"
"9","01-09",70.36,86.89,72.63,91.76,85.38,76,67.56,74.5,78.64,92.1,83.12,69.61,91.5,67.56,92.1,79.0458333333333,"DK"
"10","01-10",70.07,86.31,72.29,91.7,84.52,75.52,67.18,73.52,77.31,91.65,82.46,69,91.47,67.18,91.7,78.4608333333333,"DK"
"11","01-11",69.66,86.12,71.82,91.47,83.35,75.14,66.69,72.52,76.25,91.32,81.7,68.54,NA,66.69,91.47,77.8816666666667,"DK"
"12","01-12",69.48,85.99,71.41,91.17,82.21,74.6,65.72,71.47,75.49,91.06,80.95,68.32,NA,65.72,91.17,77.3225,"DK"
"13","01-13",69.53,85.76,70.96,90.26,81.48,74.07,65.14,70.66,74.8,90.51,80.05,68.39,NA,65.14,90.51,76.8008333333333,"DK"
"14","01-14",69.58,85.62,70.05,89.52,80.59,73.18,64.68,69.8,73.87,89.93,79.09,67.92,NA,64.68,89.93,76.1525,"DK"
"15","01-15",69.59,85.44,68.75,89.2,79.74,72.22,64.11,68.78,73.21,89.57,78.04,67.41,NA,64.11,89.57,75.505,"DK"
"16","01-16",69.8,85.1,67.28,88.75,78.58,71.64,63.31,67.46,72.64,89.12,77.06,67.24,NA,63.31,89.12,74.8316666666667,"DK"
"17","01-17",69.89,84.85,66.01,88.03,77.33,70.88,62.95,66.54,71.84,88.77,76.17,66.91,NA,62.95,88.77,74.1808333333333,"DK"
"18","01-18",69.79,84.57,65.01,87.39,76.31,69.92,62.7,65.62,70.77,88.37,75.21,66.49,NA,62.7,88.37,73.5125,"DK"
"19","01-19",69.54,84.27,64.17,86.66,75.13,69.14,62.34,64.57,69.89,87.98,74.48,66,NA,62.34,87.98,72.8475,"DK"
"20","01-20",69.25,84.13,63.26,85.64,73.82,68.08,62.02,63.57,69.08,87.5,74.01,65.68,NA,62.02,87.5,72.17,"DK"
"21","01-21",68.96,84,62.35,84.53,72.78,67.14,61.7,62.56,68.22,87.09,73.58,65.13,NA,61.7,87.09,71.5033333333333,"DK"
"22","01-22",68.5,83.87,61.53,83.32,71.83,66.3,61.3,61.18,67.59,86.46,73.16,64.79,NA,61.18,86.46,70.8191666666667,"DK"
"23","01-23",68.06,83.56,60.51,82.45,70.51,65.59,60.86,60.06,66.91,85.83,72.67,64.52,NA,60.06,85.83,70.1275,"DK"
"24","01-24",67.45,83.15,59.02,81.41,69.44,65.16,60.05,59.53,66.13,85.26,72.14,64.03,NA,59.02,85.26,69.3975,"DK"
"25","01-25",66.93,82.49,57.95,80.78,68.64,64.75,59.26,58.66,65.45,84.83,71.24,63.31,NA,57.95,84.83,68.6908333333333,"DK"
"26","01-26",66.22,82,57.23,79.23,67.51,64.44,58.53,57.74,64.91,84.38,70.35,62.81,NA,57.23,84.38,67.9458333333333,"DK"
"27","01-27",65.13,81.5,56.85,78.08,66.62,64.17,57.85,57.07,64.47,83.8,69.35,62.61,NA,56.85,83.8,67.2916666666667,"DK"
"28","01-28",64.47,80.87,56.34,77.18,65.72,63.92,57.48,56.61,63.8,83.31,68.47,62.08,NA,56.34,83.31,66.6875,"DK"
"29","01-29",64.34,80.51,56.01,76.11,64.93,63.68,57.13,55.89,63.12,82.72,67.47,61.87,NA,55.89,82.72,66.1483333333333,"DK"
"30","01-30",64.22,79.92,55.84,74.9,64.15,63.16,56.58,55.1,62.69,82.19,66.6,61.56,NA,55.1,82.19,65.5758333333333,"DK"
"31","01-31",63.83,79.39,55.68,73.85,63.51,62.66,56,54.19,62.08,81.68,65.78,60.96,NA,54.19,81.68,64.9675,"DK"
"32","02-01",63.5,78.57,55.08,73.32,62.97,61.99,55.11,53.59,61.64,81.38,64.94,60.46,NA,53.59,81.38,64.3791666666667,"DK"
"33","02-02",63.29,77.52,54.63,73.02,61.83,61.3,54.19,52.76,61.47,81.05,64.05,59.96,NA,52.76,81.05,63.7558333333333,"DK"
"34","02-03",63.16,76.28,54.11,72.31,60.69,60.35,53.17,51.79,61.37,80.55,62.97,59.54,NA,51.79,80.55,63.0241666666667,"DK"
"35","02-04",63.13,74.87,53.4,71.65,59.31,59.09,52.27,50.79,60.97,79.96,62.01,59.08,NA,50.79,79.96,62.2108333333333,"DK"
"36","02-05",63.17,73.54,52.82,70.94,58.05,58.44,51.34,49.43,60.64,79.25,61.06,58.71,NA,49.43,79.25,61.4491666666667,"DK"
"37","02-06",63.21,71.83,52.12,70.32,56.74,58.21,50.34,48.04,60.25,78.57,60.42,58.35,NA,48.04,78.57,60.7,"DK"
"38","02-07",63.19,70.06,51.3,69.82,55.86,58.11,49.18,46.73,59.99,78.07,59.76,57.84,NA,46.73,78.07,59.9925,"DK"
"39","02-08",63.22,68.3,50.53,69.26,54.67,58,48.03,45.81,59.89,77.58,58.77,57.43,NA,45.81,77.58,59.2908333333333,"DK"
"40","02-09",63.16,66.88,49.78,68.58,54.03,57.69,47.07,44.89,60.06,77.17,57.77,56.9,NA,44.89,77.17,58.665,"DK"
"41","02-10",63.1,65.56,49.19,67.58,53.31,57.09,46.21,44.09,60.11,76.69,56.7,56.27,NA,44.09,76.69,57.9916666666667,"DK"
"42","02-11",63.04,64.56,48.46,66.74,52.49,56.68,45.47,43.29,59.53,76.18,55.64,55.68,NA,43.29,76.18,57.3133333333333,"DK"
"43","02-12",62.97,63.82,47.73,66.06,51.49,56.15,44.79,42.48,59,75.63,54.55,54.98,NA,42.48,75.63,56.6375,"DK"
"44","02-13",63.06,62.97,46.6,65.76,50.71,55.84,43.96,41.5,58.51,74.98,53.61,54.35,NA,41.5,74.98,55.9875,"DK"
"45","02-14",62.84,62.26,45.77,65.46,50.2,55.45,42.91,40.52,58.13,74.42,52.84,53.75,NA,40.52,74.42,55.3791666666667,"DK"
"46","02-15",62.5,62.07,45.12,65.19,49.61,54.8,42.05,39.51,58.03,74.23,52.35,53.44,NA,39.51,74.23,54.9083333333333,"DK"
"47","02-16",62.37,61.75,44.71,65.04,48.63,53.83,41.4,38.57,58.16,74.2,51.51,52.98,NA,38.57,74.2,54.4291666666667,"DK"
"48","02-17",62.07,61.58,44.22,64.46,47.64,52.91,40.8,37.93,58.29,73.9,50.74,52.6,NA,37.93,73.9,53.9283333333333,"DK"
"49","02-18",61.76,61.54,43.69,64.3,46.99,52,40.22,37.45,58.32,73.55,50.25,52.2,NA,37.45,73.55,53.5225,"DK"
"50","02-19",61.54,61.54,42.97,64.13,46.31,51.3,39.6,36.71,58.46,73.11,49.56,51.73,NA,36.71,73.11,53.08,"DK"
"51","02-20",61.03,61.31,41.89,64.07,45.36,51.05,38.93,35.75,58.5,72.65,49.18,51.34,NA,35.75,72.65,52.5883333333333,"DK"
"52","02-21",60.7,61.19,40.79,64.09,44.45,51.13,38.44,35.03,58.42,72.13,49.04,50.78,NA,35.03,72.13,52.1825,"DK"
"53","02-22",60.21,61.17,39.61,64.16,43.69,51.26,37.98,34.08,58,71.84,48.44,50.2,NA,34.08,71.84,51.72,"DK"
"54","02-23",58.63,61.05,38.94,64.1,42.92,50.94,37.33,32.99,57.66,71.44,48.04,49.5,NA,32.99,71.44,51.1283333333333,"DK"
"55","02-24",57.05,60.94,38.41,63.96,41.99,50.63,36.66,31.93,57.45,70.9,47.81,48.8,NA,31.93,70.9,50.5441666666667,"DK"
"56","02-25",57.02,60.94,37.73,63.79,41.22,49.9,36.09,30.53,57.35,70.34,47.42,48.34,NA,30.53,70.34,50.0558333333333,"DK"
"57","02-26",57.26,60.77,36.97,63.58,40.33,49.03,35.6,28.73,57.24,69.68,47.14,47.66,NA,28.73,69.68,49.4991666666667,"DK"
