"","Maand_Dag","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","Historical_Min","Historical_Max","Historical_Mean","Naam"
"1","01-01",55.5,68.81,61.69,57.57,69.42,65.43,61.38,51.26,70.37,85.1,70.07,58.31,84.28,51.26,85.1,64.58,"Frankrijk"
"2","01-02",55.12,68.48,61.29,57.45,68.73,65.16,60.56,50.93,69.54,84.26,69.25,58.44,84.27,50.93,84.26,64.1,"Frankrijk"
"3","01-03",54.54,67.96,60.86,57.3,68.25,64.88,59.59,50.57,68.47,83.66,68.46,58.3,83.9,50.57,83.66,63.57,"Frankrijk"
"4","01-04",53.9,67.44,60.54,57.09,67.76,64.33,58.73,50.25,67.39,83.06,67.38,57.97,83.67,50.25,83.06,62.99,"Frankrijk"
"5","01-05",53.46,66.94,60.24,56.78,66.95,63.78,57.76,49.9,66.53,82.4,66.02,57.33,83.26,49.9,82.4,62.34,"Frankrijk"
"6","01-06",53.18,66.3,59.88,56.55,66.12,63.16,56.75,49.57,65.7,81.46,64.69,56.64,82.97,49.57,81.46,61.67,"Frankrijk"
"7","01-07",52.88,65.68,59.37,56.33,65.32,62.52,55.85,49.16,64.92,80.51,63.43,55.84,82.76,49.16,80.51,60.98,"Frankrijk"
"8","01-08",52.62,65.07,58.83,56.17,64.63,61.82,55.12,48.53,64.19,79.74,62.14,55.33,82.4,48.53,79.74,60.35,"Frankrijk"
"9","01-09",52.27,64.39,58.26,56,64.15,61.39,54.29,47.87,63.25,78.99,61.07,54.73,81.94,47.87,78.99,59.72,"Frankrijk"
"10","01-10",51.68,63.69,57.73,55.7,63.83,60.98,53.45,47.27,62.19,78.31,59.94,53.71,81.36,47.27,78.31,59.04,"Frankrijk"
"11","01-11",51.19,62.96,57.16,55.5,63.41,60.36,52.62,46.69,61.3,77.61,58.68,52.66,80.89,46.69,77.61,58.34,"Frankrijk"
"12","01-12",50.85,62.19,56.6,55.26,62.76,59.71,51.89,46.05,60.7,77.06,57.57,51.64,80.48,46.05,77.06,57.69,"Frankrijk"
"13","01-13",50.58,61.42,55.99,54.97,62.08,58.99,51.15,45.46,60.28,76.34,56.65,50.52,80.03,45.46,76.34,57.04,"Frankrijk"
"14","01-14",50.34,60.67,55.06,54.53,61.32,58.31,50.42,44.93,59.59,75.25,55.65,49.37,79.67,44.93,75.25,56.29,"Frankrijk"
"15","01-15",50.29,59.92,54.1,54.13,60.7,57.57,49.68,44.32,58.76,74.2,54.45,48.46,79.2,44.32,74.2,55.55,"Frankrijk"
"16","01-16",50.19,59.09,53.05,53.8,60.07,56.84,48.74,43.71,57.99,73.13,53.49,47.67,78.45,43.71,73.13,54.81,"Frankrijk"
"17","01-17",49.79,58.35,51.91,53.47,59.46,56.11,47.71,43.02,57.1,72.05,52.61,46.62,77.58,43.02,72.05,54.02,"Frankrijk"
"18","01-18",49.49,57.63,50.87,53.13,58.73,55.08,46.67,42.36,56.19,70.91,51.47,45.6,NA,42.36,70.91,53.18,"Frankrijk"
"19","01-19",49.09,56.97,50.05,52.77,57.78,54.1,45.65,41.68,55.37,69.7,50.45,44.76,NA,41.68,69.7,52.36,"Frankrijk"
"20","01-20",48.63,56.36,49.2,52.28,56.84,53.14,44.64,41.13,54.56,68.32,49.75,43.82,NA,41.13,68.32,51.56,"Frankrijk"
"21","01-21",48.04,55.79,48.28,51.75,55.92,52.16,43.73,40.58,53.45,66.82,49.2,42.9,NA,40.58,66.82,50.72,"Frankrijk"
"22","01-22",47.49,55.29,47.37,51.23,55.01,51.27,42.88,39.93,52.32,65.3,48.52,42.04,NA,39.93,65.3,49.89,"Frankrijk"
"23","01-23",46.99,54.64,46.44,50.67,54.01,50.68,41.94,39.33,51.25,63.78,47.96,41.22,NA,39.33,63.78,49.08,"Frankrijk"
