"","Maand_Dag","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","Historical_Min","Historical_Max","Historical_Mean","Naam"
"1","01-01",NA,NA,100,100,100,100,88.65,81.27,100,94.16,NA,NA,NA,NA,NA,NA,"United Kingdom"
"2","01-02",NA,NA,100,100,100,100,90.35,83.34,100,95.99,NA,NA,NA,NA,NA,NA,"United Kingdom"
"3","01-03",NA,NA,100,100,100,100,89.96,85.23,100,96.74,NA,NA,NA,NA,NA,NA,"United Kingdom"
"4","01-04",NA,NA,100,100,100,100,88.97,87.75,100,97.54,NA,NA,NA,NA,NA,NA,"United Kingdom"
"5","01-05",NA,NA,100,100,100,100,85.35,88.69,100,98.12,NA,NA,NA,NA,NA,NA,"United Kingdom"
"6","01-06",NA,NA,100,100,100,100,82.75,89.16,100,97.62,NA,NA,NA,NA,NA,NA,"United Kingdom"
"7","01-07",NA,NA,100,100,100,100,84.49,86.98,100,97.96,NA,NA,NA,NA,NA,NA,"United Kingdom"
"8","01-08",NA,NA,100,100,100,100,87.7,83.01,100,97.13,NA,NA,NA,NA,NA,NA,"United Kingdom"
"9","01-09",NA,NA,100,100,100,100,89.79,83.28,100,93.43,NA,NA,NA,NA,NA,NA,"United Kingdom"
"10","01-10",NA,NA,100,100,100,100,90.84,84.82,96.85,90.31,NA,NA,NA,NA,NA,NA,"United Kingdom"
"11","01-11",NA,NA,100,100,100,100,92.88,84.16,95.43,88.91,NA,NA,NA,NA,NA,NA,"United Kingdom"
"12","01-12",NA,NA,100,100,100,100,94.24,84.67,97.67,88.62,NA,NA,NA,NA,NA,NA,"United Kingdom"
"13","01-13",NA,NA,100,100,100,100,91.61,86.88,100,87.95,NA,NA,NA,NA,NA,NA,"United Kingdom"
"14","01-14",NA,NA,100,100,100,100,90.97,89.48,100,87.3,NA,NA,NA,NA,NA,NA,"United Kingdom"
"15","01-15",NA,NA,96.85,100,100,100,93.48,90.7,100,86.99,NA,NA,NA,NA,NA,NA,"United Kingdom"
"16","01-16",NA,NA,83.76,100,100,92.69,92.42,91.1,100,85.84,NA,NA,NA,NA,NA,NA,"United Kingdom"
"17","01-17",NA,NA,72.1,100,100,84.29,89.23,89.09,100,85.27,NA,NA,NA,NA,NA,NA,"United Kingdom"
"18","01-18",NA,NA,65.19,100,100,74.53,87,85.84,100,84.36,NA,NA,NA,NA,NA,NA,"United Kingdom"
"19","01-19",NA,NA,71.19,100,100,66.49,82.78,80.92,100,81.44,NA,NA,NA,NA,NA,NA,"United Kingdom"
"20","01-20",NA,NA,75.9,100,100,54.24,78.91,77.84,100,78.88,NA,NA,NA,NA,NA,NA,"United Kingdom"
"21","01-21",NA,NA,66.37,100,96.71,46.24,77.87,77.71,100,74.83,NA,NA,NA,NA,NA,NA,"United Kingdom"
"22","01-22",NA,NA,66.37,100,96.06,44.52,74.05,78.04,100,71.45,NA,NA,NA,NA,NA,NA,"United Kingdom"
"23","01-23",NA,NA,55.35,100,96.06,43.86,70.18,79.39,95.78,69.96,NA,NA,NA,NA,NA,NA,"United Kingdom"
"24","01-24",NA,NA,50,100,96.06,49.66,66.11,79.91,90.9,69,NA,NA,NA,NA,NA,NA,"United Kingdom"
"25","01-25",NA,NA,42.78,100,96.06,49.66,62.08,79.24,92.18,68.31,NA,NA,NA,NA,NA,NA,"United Kingdom"
"26","01-26",NA,NA,41.2,100,100,49.66,55.14,79.56,97.23,68.88,NA,NA,NA,NA,NA,NA,"United Kingdom"
"27","01-27",NA,NA,43.86,100,100,52.17,49.13,83.07,100,66.52,NA,NA,NA,NA,NA,NA,"United Kingdom"
"28","01-28",NA,NA,43.9,100,98.4,52.55,48.45,88.82,98.69,64.65,NA,NA,NA,NA,NA,NA,"United Kingdom"
"29","01-29",NA,NA,56.1,100,90.92,51.04,47.05,90.46,96.7,63.14,NA,NA,NA,NA,NA,NA,"United Kingdom"
"30","01-30",NA,NA,65.59,99.77,85.76,51.04,46.16,90.74,93.18,62.33,NA,NA,NA,NA,NA,NA,"United Kingdom"
"31","01-31",NA,NA,80.74,97.68,84.85,51.04,46.42,93.12,89.09,62.61,NA,NA,NA,NA,NA,NA,"United Kingdom"
"32","02-01",NA,NA,80.93,97.41,85.17,50.44,48.79,94.12,85.1,63.95,NA,NA,NA,NA,NA,NA,"United Kingdom"
"33","02-02",NA,NA,84.81,97.57,79.17,50.28,54.42,93.65,81.54,64.82,NA,NA,NA,NA,NA,NA,"United Kingdom"
"34","02-03",NA,NA,92.99,97.57,71.41,48.67,59.72,95.13,79.8,63.59,NA,NA,NA,NA,NA,NA,"United Kingdom"
"35","02-04",NA,NA,94.98,97.57,60.33,48.99,65.42,96.03,75.77,61.91,NA,NA,NA,NA,NA,NA,"United Kingdom"
"36","02-05",NA,NA,95.52,95.96,52.14,48.99,69.49,91.85,72.46,59.43,NA,NA,NA,NA,NA,NA,"United Kingdom"
"37","02-06",NA,NA,86.04,95.96,49.83,49.07,71.31,85.13,70.86,57.33,NA,NA,NA,NA,NA,NA,"United Kingdom"
"38","02-07",NA,NA,64.5,96.55,41.16,49.23,69.93,78.11,69.68,56.37,NA,NA,NA,NA,NA,NA,"United Kingdom"
