"","Maand_Dag","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","Historical_Min","Historical_Max","Historical_Mean","Naam"
"1","01-01",NA,NA,NA,NA,81.54,72.48,56.72,75.28,63.32,72.71,57.67,56.09,91.62,56.72,81.54,66.98,"Hongarije"
"2","01-02",NA,NA,NA,NA,81.2,71.93,56.03,75.19,62.81,72.11,57.54,55.52,91.89,56.03,81.2,66.54,"Hongarije"
"3","01-03",NA,NA,NA,NA,80.86,71.27,55.38,74.72,62.04,71.55,57.41,55,92.11,55.38,80.86,66.03,"Hongarije"
"4","01-04",NA,NA,NA,NA,80.59,70.26,54.63,74.31,61.24,70.91,57.11,54.73,92.08,54.63,80.59,65.47,"Hongarije"
"5","01-05",NA,NA,NA,NA,80.38,69.34,53.87,74.03,60.53,70.34,56.99,54.24,92.03,53.87,80.38,64.97,"Hongarije"
"6","01-06",NA,NA,NA,NA,80.05,68.72,52.88,73.85,59.88,69.6,56.85,53.58,91.99,52.88,80.05,64.43,"Hongarije"
"7","01-07",NA,NA,NA,NA,79.64,68.03,51.9,73.65,58.93,68.59,56.58,52.67,91.87,51.9,79.64,63.75,"Hongarije"
"8","01-08",NA,NA,NA,NA,79.22,67.47,50.95,73.32,57.95,67.66,56.33,51.77,91.81,50.95,79.22,63.08,"Hongarije"
"9","01-09",NA,NA,NA,NA,79.01,67.11,50,72.94,57.07,66.74,56.13,50.88,91.81,50,79.01,62.48,"Hongarije"
"10","01-10",NA,NA,NA,NA,78.97,66.86,49.14,72.61,56.13,65.95,55.88,50.07,91.69,49.14,78.97,61.95,"Hongarije"
"11","01-11",NA,NA,NA,NA,78.84,66.75,48.2,72.17,55.22,65.48,55.2,49.23,91.59,48.2,78.84,61.39,"Hongarije"
"12","01-12",NA,NA,NA,NA,78.73,66.67,47.38,71.69,54.37,64.82,54.67,48.37,91.59,47.38,78.73,60.84,"Hongarije"
"13","01-13",NA,NA,NA,NA,78.69,66.48,46.81,71.31,53.7,63.89,54.26,47.51,91.52,46.81,78.69,60.33,"Hongarije"
