"","Maand_Dag","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","Historical_Min","Historical_Max","Historical_Mean","Naam"
"1","01-01",56.51,66.87,63.31,75.62,69.08,64.67,43.08,48.59,41.24,0,0,0,47.07,0,75.62,44.08,"Letland"
"2","01-02",56.01,66.4,62.84,75.21,68.71,64.21,42.83,48.4,40.97,0,0,55,47.07,0,75.21,48.38,"Letland"
"3","01-03",55.5,65.91,62.33,74.79,68.33,63.79,42.57,48.23,40.66,0,0,54.47,47.19,0,74.79,48.05,"Letland"
"4","01-04",54.97,65.42,61.81,74.39,67.9,63.25,42.23,48.06,40.4,0,0,53.9,47.25,0,74.39,47.69,"Letland"
"5","01-05",54.46,64.94,61.26,74,67.33,62.66,41.7,47.9,40.12,0,0,53.32,47.15,0,74,47.31,"Letland"
"6","01-06",53.92,64.46,60.69,73.61,66.71,61.99,41.21,47.73,39.8,0,0,52.67,46.9,0,73.61,46.9,"Letland"
"7","01-07",53.46,63.96,60.09,73.2,66.07,61.37,40.8,47.52,39.51,0,0,51.96,46.73,0,73.2,46.49,"Letland"
"8","01-08",53.04,63.45,59.48,72.81,65.53,60.72,40.46,47.28,39.21,0,0,51.25,46.55,0,72.81,46.1,"Letland"
"9","01-09",52.64,62.96,58.87,72.42,65.04,60.11,40.18,46.97,38.8,0,0,50.53,46.4,0,72.42,45.71,"Letland"
"10","01-10",52.23,62.44,58.25,72,64.62,59.57,39.86,46.57,38.35,0,0,49.73,46.31,0,72,45.3,"Letland"
"11","01-11",51.78,61.93,57.54,71.57,64.15,59.03,39.55,46.21,38.02,0,0,48.84,46.26,0,71.57,44.88,"Letland"
"12","01-12",51.37,61.45,56.79,71.12,63.59,58.54,39.27,45.87,37.72,0,0,48.12,46.26,0,71.12,44.49,"Letland"
"13","01-13",51,60.93,56.06,70.55,63.1,58.05,39,45.5,37.43,0,0,47.48,46.26,0,70.55,44.09,"Letland"
"14","01-14",50.54,60.41,55.32,69.98,62.65,57.51,38.74,45.11,37.11,0,0,46.56,46.26,0,69.98,43.66,"Letland"
"15","01-15",49.99,59.88,54.58,69.38,62.19,56.99,38.46,44.67,36.86,0,0,45.91,46.26,0,69.38,43.24,"Letland"
