"","Maand_Dag","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","Historical_Min","Historical_Max","Historical_Mean","Naam"
"1","01-01",0,91.81,94.46,80.64,50.38,39.15,51.77,67.25,79.85,99.59,62.59,81.66,98.29,0,99.59,66.6,"Portugal"
"2","01-02",0,91.89,94.46,80.64,50.38,39.77,51.77,68.18,79.85,99.81,62.59,82.46,98.29,0,99.81,66.82,"Portugal"
"3","01-03",0,91.89,92.62,81.03,50.38,40.4,51.17,69.28,79.85,99.81,62.59,83.14,98.29,0,99.81,66.85,"Portugal"
"4","01-04",0,91.89,92.61,82.03,50.38,41.03,51.17,70.35,78.65,100,60.85,83.81,98.29,0,100,66.9,"Portugal"
"5","01-05",0,91.89,92.61,82.03,50.38,41.65,51.17,71.79,78.65,100,58.49,84.44,98.29,0,100,66.92,"Portugal"
"6","01-06",0,91.89,91.02,82.03,50.38,42.28,51.18,72.68,79.21,99.6,56.36,85.02,98.29,0,99.6,66.8,"Portugal"
"7","01-07",0,91.89,89.62,82.03,50.38,42.91,51.18,73.46,78.32,98.32,54.39,85.64,98.29,0,98.32,66.51,"Portugal"
"8","01-08",0,91.89,89.62,82.03,50.38,43.54,51.18,73.78,76.88,96.17,52.89,86.35,98.29,0,96.17,66.23,"Portugal"
"9","01-09",0,91.89,89.04,82.03,50.38,44.14,50.94,73.78,76.88,94.88,52.89,87.14,98.29,0,94.88,66.17,"Portugal"
"10","01-10",0,91.22,89.04,82.03,50.38,44.73,50.94,73.78,75.65,94.1,52.89,87.71,98.29,0,94.1,66.04,"Portugal"
"11","01-11",0,91.22,89.04,82.03,50.38,45.36,50.26,74.15,75.47,94.1,51.64,87.71,98.29,0,94.1,65.95,"Portugal"
"12","01-12",0,91.22,89.04,82.03,50.38,45.94,49.57,73.32,76.09,94.1,49.98,87.71,98.29,0,94.1,65.78,"Portugal"
"13","01-13",0,91.22,88.34,82.03,50.38,46.11,49.14,72.64,76.67,92.54,48.24,86.55,98.29,0,92.54,65.32,"Portugal"
