"","Maand_Dag","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","Historical_Min","Historical_Max","Historical_Mean","Naam"
"1","01-01",NA,NA,NA,NA,NA,NA,NA,7.29,7.32,76.12,80.34,6.72,87.29,7.29,76.12,35.56,"Zweden"
"2","01-02",NA,NA,NA,NA,NA,NA,NA,7.29,7.32,76.12,80.34,6.72,87.29,7.29,76.12,35.56,"Zweden"
"3","01-03",NA,NA,NA,NA,NA,NA,NA,7.29,7.32,76.12,80.34,6.72,87.29,7.29,76.12,35.56,"Zweden"
"4","01-04",NA,NA,NA,NA,NA,NA,NA,7.29,7.32,76.12,80.34,6.72,87.29,7.29,76.12,35.56,"Zweden"
"5","01-05",NA,NA,NA,NA,NA,NA,NA,7.29,7.32,76.12,80.34,6.72,88.42,7.29,76.12,35.56,"Zweden"
"6","01-06",NA,NA,NA,NA,NA,NA,NA,7.29,7.32,76.12,80.34,6.72,88.42,7.29,76.12,35.56,"Zweden"
"7","01-07",NA,NA,NA,NA,NA,NA,NA,7.29,7.32,76.12,80.34,6.72,88.42,7.29,76.12,35.56,"Zweden"
"8","01-08",NA,NA,NA,NA,NA,NA,NA,7.29,7.32,76.12,80.34,6.72,88.42,7.29,76.12,35.56,"Zweden"
"9","01-09",NA,NA,NA,NA,NA,NA,NA,7.29,7.32,76.12,80.34,6.72,88.42,7.29,76.12,35.56,"Zweden"
"10","01-10",NA,NA,NA,NA,NA,NA,NA,7.3,7.32,76.12,80.34,6.72,88.42,7.3,76.12,35.56,"Zweden"
"11","01-11",NA,NA,NA,NA,NA,NA,NA,7.3,7.32,76.12,80.34,6.72,88.42,7.3,76.12,35.56,"Zweden"
"12","01-12",NA,NA,NA,NA,NA,NA,NA,7.3,7.32,76.12,80.34,6.72,88.42,7.3,76.12,35.56,"Zweden"
"13","01-13",NA,NA,NA,NA,NA,NA,NA,7.3,7.32,76.12,80.34,6.72,88.42,7.3,76.12,35.56,"Zweden"
"14","01-14",NA,NA,NA,NA,NA,NA,NA,7.3,7.32,76.12,80.34,6.72,88.42,7.3,76.12,35.56,"Zweden"
"15","01-15",NA,NA,NA,NA,NA,NA,NA,7.3,7.32,76.12,80.34,6.72,88.42,7.3,76.12,35.56,"Zweden"
"16","01-16",NA,NA,NA,NA,NA,NA,NA,7.3,7.32,76.12,80.34,6.72,88.42,7.3,76.12,35.56,"Zweden"
"17","01-17",NA,NA,NA,NA,NA,NA,NA,7.3,7.32,76.12,80.34,6.72,88.42,7.3,76.12,35.56,"Zweden"
"18","01-18",NA,NA,NA,NA,NA,NA,NA,7.3,7.32,76.12,80.34,6.72,NA,7.3,76.12,35.56,"Zweden"
"19","01-19",NA,NA,NA,NA,NA,NA,NA,7.3,7.32,76.12,80.34,6.72,NA,7.3,76.12,35.56,"Zweden"
"20","01-20",NA,NA,NA,NA,NA,NA,NA,7.3,7.32,76.12,80.34,6.72,NA,7.3,76.12,35.56,"Zweden"
"21","01-21",NA,NA,NA,NA,NA,NA,NA,7.3,7.32,76.12,80.34,6.72,NA,7.3,76.12,35.56,"Zweden"
"22","01-22",NA,NA,NA,NA,NA,NA,NA,7.3,7.32,76.12,80.34,6.72,NA,7.3,76.12,35.56,"Zweden"
