"","Maand_Dag","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","Historical_Min","Historical_Max","Historical_Mean","Naam"
"1","01-01",NA,57.47,66.7,65.8,59.06,60.94,56.44,49.86,42.71,88.68,63.06,52.74,79.98,42.71,88.68,60.3145454545455,"RO"
"2","01-02",NA,57.06,66.14,65.46,58.27,60.33,55.96,49.58,42.34,88.18,62.91,52.77,79.73,42.34,88.18,59.9090909090909,"RO"
"3","01-03",NA,56.58,65.53,65.02,57.47,59.62,55.34,49.17,41.82,87.65,62.58,52.56,79.35,41.82,87.65,59.3945454545455,"RO"
"4","01-04",NA,56.14,64.99,64.51,56.7,58.79,54.68,48.64,41.2,87.11,61.87,52.39,78.99,41.2,87.11,58.82,"RO"
"5","01-05",NA,55.73,64.5,64.1,55.92,57.94,54.04,48.36,40.63,86.63,61.39,52.26,78.61,40.63,86.63,58.3181818181818,"RO"
"6","01-06",NA,55.37,64.05,63.6,55.15,57.09,53.29,47.98,40.08,85.92,60.84,51.99,78.24,40.08,85.92,57.76,"RO"
"7","01-07",NA,55.01,63.42,63.04,54.39,56.27,52.47,47.72,39.46,85.1,60.34,51.59,77.83,39.46,85.1,57.1645454545455,"RO"
"8","01-08",NA,54.63,62.68,62.48,53.59,55.62,51.65,47.32,38.81,84.3,59.73,51.2,77.37,38.81,84.3,56.5463636363636,"RO"
"9","01-09",NA,54.13,61.89,61.93,52.79,54.96,50.81,46.85,38.18,83.52,59.13,50.86,76.84,38.18,83.52,55.9136363636364,"RO"
"10","01-10",NA,53.55,61.08,61.42,52,54.31,49.97,46.39,37.56,82.93,58.45,50.37,76.29,37.56,82.93,55.2754545454545,"RO"
"11","01-11",NA,52.99,60.26,60.96,51.56,53.74,49.15,46,36.92,82.45,57.68,49.79,75.73,36.92,82.45,54.6818181818182,"RO"
"12","01-12",NA,52.44,59.47,60.6,51.01,53.27,48.33,45.55,36.28,82,56.9,49.13,75.11,36.28,82,54.0890909090909,"RO"
"13","01-13",NA,51.92,58.7,60.1,50.38,52.73,47.53,45.06,35.68,81.39,56.13,48.46,74.5,35.68,81.39,53.4618181818182,"RO"
"14","01-14",NA,51.37,57.94,59.53,49.75,52.14,46.79,44.54,35.04,80.71,55.36,47.86,73.91,35.04,80.71,52.8209090909091,"RO"
"15","01-15",NA,50.72,57.31,58.94,49.17,51.46,46.05,43.88,34.43,80,54.67,47.39,73.36,34.43,80,52.1836363636364,"RO"
"16","01-16",NA,50,56.79,58.37,48.59,50.84,45.29,43.19,33.8,79.3,54.03,46.89,NA,33.8,79.3,51.5536363636364,"RO"
"17","01-17",NA,49.24,56.24,57.81,48.02,50.15,44.53,42.62,33.25,78.59,53.29,46.31,NA,33.25,78.59,50.9136363636364,"RO"
"18","01-18",NA,48.47,55.64,57.29,47.52,49.38,43.76,42.05,32.85,77.94,52.51,45.73,NA,32.85,77.94,50.2854545454545,"RO"
"19","01-19",NA,47.7,55.09,56.89,47.02,48.58,43.01,41.45,32.41,77.26,51.73,45.14,NA,32.41,77.26,49.6618181818182,"RO"
"20","01-20",NA,46.95,54.56,56.43,46.43,47.78,42.26,40.91,31.95,76.52,50.95,44.54,NA,31.95,76.52,49.0254545454545,"RO"
"21","01-21",NA,46.23,54.06,55.88,45.84,46.97,41.52,40.41,31.37,75.8,50.35,43.97,NA,31.37,75.8,48.4,"RO"
"22","01-22",NA,45.51,53.64,55.26,45.29,46.17,40.81,39.85,30.77,75.12,49.77,43.34,NA,30.77,75.12,47.7754545454545,"RO"
"23","01-23",NA,44.8,53.07,54.59,44.95,45.38,40.21,39.25,30.24,74.5,49.26,42.71,NA,30.24,74.5,47.1781818181818,"RO"
"24","01-24",NA,44.1,52.48,53.86,44.69,44.6,39.61,38.62,29.68,73.9,48.86,42.03,NA,29.68,73.9,46.5845454545455,"RO"
"25","01-25",NA,43.39,51.89,53.12,44.33,43.82,38.9,37.97,29.07,73.38,48.31,41.31,NA,29.07,73.38,45.9536363636364,"RO"
"26","01-26",NA,42.68,51.2,52.37,43.85,43.05,38.19,37.32,28.52,72.91,47.61,40.61,NA,28.52,72.91,45.3009090909091,"RO"
"27","01-27",NA,41.99,50.49,51.59,43.38,42.29,37.49,36.73,27.99,72.36,46.91,39.94,NA,27.99,72.36,44.6509090909091,"RO"
"28","01-28",NA,41.28,49.78,50.83,42.95,41.55,36.79,36.18,27.42,71.84,46.16,39.4,NA,27.42,71.84,44.0163636363636,"RO"
"29","01-29",NA,40.56,49.03,50.07,42.55,40.96,36.09,35.64,26.87,71.42,45.45,38.95,NA,26.87,71.42,43.4172727272727,"RO"
"30","01-30",NA,39.8,48.31,49.28,42.29,40.5,35.36,35.16,26.41,73.17,44.92,38.54,NA,26.41,73.17,43.0672727272727,"RO"
"31","01-31",NA,39.07,47.69,48.52,42.24,40.24,34.67,34.61,25.92,70.51,44.37,37.98,NA,25.92,70.51,42.3472727272727,"RO"
"32","02-01",NA,38.35,47.24,47.77,41.79,39.7,33.98,34.17,25.45,70.23,43.64,37.48,NA,25.45,70.23,41.8,"RO"
"33","02-02",NA,37.65,46.92,47.02,41.33,39.27,33.4,33.73,25.11,70.06,42.98,36.94,NA,25.11,70.06,41.31,"RO"
