"","Maand_Dag","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","Historical_Min","Historical_Max","Historical_Mean","Naam"
"1","01-01",73.38,88.61,71.5,65.65,65.71,68.16,57.53,65.49,54.58,96.86,85.35,46.17,73.32,54.58,96.86,69.9158333333333,"SK"
"2","01-02",72.75,88.32,70.79,65.31,65.1,67.57,56.85,64.83,54.14,96.43,84.91,46.34,73.32,54.14,96.43,69.445,"SK"
"3","01-03",71.99,87.9,70.33,64.97,64.62,66.93,56.1,64.1,53.49,96.05,84.45,46.48,73.33,53.49,96.05,68.9508333333333,"SK"
"4","01-04",71.1,87.5,69.98,64.74,64.13,66.22,55.48,63.38,52.85,95.76,83.96,46.44,73.41,52.85,95.76,68.4616666666667,"SK"
"5","01-05",70.22,87.18,69.62,64.51,63.54,65.53,54.71,62.73,52.28,95.47,83.35,46.33,73.39,52.28,95.47,67.9558333333333,"SK"
"6","01-06",69.5,86.83,69.14,64.27,62.98,65.05,53.92,62.16,51.73,95.09,83.62,45.98,73.47,51.73,95.09,67.5225,"SK"
"7","01-07",68.84,86.65,68.61,63.99,62.32,64.7,53.12,61.56,51.06,94.56,82.86,45.48,73.56,51.06,94.56,66.9791666666667,"SK"
"8","01-08",68.37,86.44,67.86,63.61,61.8,64.26,52.32,60.89,50.34,94.04,82.09,45.14,73.69,50.34,94.04,66.43,"SK"
"9","01-09",67.95,86.21,67.06,63.23,61.34,63.87,51.48,60.21,49.62,93.56,81.42,44.8,73.65,49.62,93.56,65.8958333333333,"SK"
"10","01-10",67.41,85.85,66.27,62.89,61.02,63.47,50.81,59.48,48.97,94.26,80.74,43.02,73.6,48.97,94.26,65.3491666666667,"SK"
"11","01-11",66.9,85.52,65.52,62.6,60.6,63.13,49.94,58.75,48.24,93.87,79.86,42.4,73.44,48.24,93.87,64.7775,"SK"
"12","01-12",66.54,85.27,64.79,62.28,60.17,62.92,49.26,58.05,47.69,93.49,79.47,41.71,73.32,47.69,93.49,64.3033333333333,"SK"
"13","01-13",66.21,85,64.03,61.71,59.63,62.51,48.57,57.4,47.18,92.95,78.99,41.06,73.21,47.18,92.95,63.77,"SK"
"14","01-14",66,84.71,63.22,61.38,59.11,61.89,47.88,56.69,46.58,92.35,78.04,40.4,73.19,46.58,92.35,63.1875,"SK"
"15","01-15",65.78,84.39,62.45,60.93,58.65,61.29,47.18,55.87,45.93,91.73,77.08,39.98,73.16,45.93,91.73,62.605,"SK"
"16","01-16",65.62,83.99,61.74,60.49,58.22,60.62,46.24,55.08,45.34,91.16,76.19,39.62,NA,45.34,91.16,62.0258333333333,"SK"
"17","01-17",65.33,83.65,60.96,60.11,57.88,59.93,45.4,54.2,44.75,90.55,75.21,39.03,NA,44.75,90.55,61.4166666666667,"SK"
"18","01-18",64.94,83.32,60.17,59.79,57.48,59.08,44.58,53.37,44.27,89.99,74.16,38.46,NA,44.27,89.99,60.8008333333333,"SK"
"19","01-19",64.52,82.93,59.4,59.52,57,58.2,43.62,52.53,43.86,89.48,73.16,37.87,NA,43.62,89.48,60.1741666666667,"SK"
"20","01-20",64.09,82.45,58.71,59.22,56.48,57.24,42.89,51.72,43.46,90.07,72.21,37.31,NA,42.89,90.07,59.6541666666667,"SK"
"21","01-21",63.62,81.99,58.04,58.89,56.02,56.27,42.13,50.91,42.88,89.44,71.38,36.71,NA,42.13,89.44,59.0233333333333,"SK"
"22","01-22",63.12,81.53,57.34,58.46,55.52,55.32,41.74,49.97,42.17,88.85,70.52,36.27,NA,41.74,88.85,58.4008333333333,"SK"
"23","01-23",62.62,81.05,56.6,57.96,54.99,54.39,40.94,49.07,41.42,88.18,69.76,35.53,NA,40.94,88.18,57.7091666666667,"SK"
"24","01-24",61.96,80.55,55.83,57.43,54.46,53.54,40.07,48.16,40.8,87.42,68.95,34.91,NA,40.07,87.42,57.0066666666667,"SK"
"25","01-25",61.37,80.02,55.07,56.83,53.95,52.66,39.23,47.15,40.07,86.82,68.03,34.28,NA,39.23,86.82,56.29,"SK"
"26","01-26",60.77,79.48,54.36,56.17,53.33,51.91,38.35,46.19,39.64,86.22,67.07,33.72,NA,38.35,86.22,55.6008333333333,"SK"
"27","01-27",60.11,78.85,53.68,55.56,52.77,51.12,37.55,45.25,39.26,85.51,66.03,33.19,NA,37.55,85.51,54.9066666666667,"SK"
"28","01-28",59.35,78.37,52.96,54.96,52.24,50.48,36.8,44.34,38.61,84.77,65.08,32.77,NA,36.8,84.77,54.2275,"SK"
"29","01-29",58.66,77.89,52.27,54.38,51.65,49.86,36.05,43.46,37.97,84.09,64.22,32.55,NA,36.05,84.09,53.5875,"SK"
"30","01-30",57.94,77.31,51.96,53.83,51.11,49.32,35.49,42.6,37.29,85.75,63.91,32.35,NA,35.49,85.75,53.2383333333333,"SK"
"31","01-31",57.18,76.57,51.45,53.24,50.49,48.8,34.66,41.78,36.7,85.26,63.09,31.83,NA,34.66,85.26,52.5875,"SK"
"32","02-01",56.35,75.86,50.94,52.67,49.82,48.41,34.02,41.08,36.1,85.01,63.35,31.52,NA,34.02,85.01,52.0941666666667,"SK"
"33","02-02",55.63,75.06,50.47,52.18,49.06,48.02,33.5,40.41,35.78,84.83,62.46,31.13,NA,33.5,84.83,51.5441666666667,"SK"
"34","02-03",55.01,73.96,49.94,51.65,48.29,47.42,33.11,39.74,35.46,84.53,61.55,30.74,NA,33.11,84.53,50.95,"SK"
"35","02-04",54.46,72.78,49.36,51.11,47.56,46.81,32.73,39.06,34.87,84.14,60.75,30.39,NA,32.73,84.14,50.335,"SK"
"36","02-05",54.02,71.65,48.78,50.61,48.06,46.13,32.38,38.26,34.3,83.77,59.98,30.22,NA,32.38,83.77,49.8466666666667,"SK"
"37","02-06",53.86,70.56,48.25,50.11,47.09,45.54,31.97,37.41,33.77,83.35,59.42,30.06,NA,31.97,83.35,49.2825,"SK"
"38","02-07",53.59,69.43,47.73,49.62,46.31,45.08,31.53,36.64,33.26,82.94,58.82,29.74,NA,31.53,82.94,48.7241666666667,"SK"
"39","02-08",53.19,68.28,47,49.17,45.55,44.52,31,35.83,32.77,82.62,58.11,29.4,NA,31,82.62,48.12,"SK"
"40","02-09",52.74,67.07,46.39,48.77,44.61,44.01,30.48,35.07,32.46,82.32,57.2,29.06,NA,30.48,82.32,47.515,"SK"
"41","02-10",52.4,65.93,45.74,48.36,43.73,43.54,30.19,34.44,32.16,83.19,56.31,28.7,NA,30.19,83.19,47.0575,"SK"
"42","02-11",52,64.84,45.09,47.93,42.86,42.95,29.8,33.78,31.76,82.81,55.44,28.4,NA,29.8,82.81,46.4716666666667,"SK"
"43","02-12",51.65,63.77,44.44,47.54,42.15,42.27,29.31,33.01,31.43,82.4,54.54,28.19,NA,29.31,82.4,45.8916666666667,"SK"
"44","02-13",51.26,62.7,43.81,47.12,41.48,41.58,28.71,32.21,31.06,81.99,53.68,27.99,NA,28.71,81.99,45.2991666666667,"SK"
"45","02-14",50.75,61.75,43.21,46.69,40.83,41.04,28.14,32.3,30.68,81.65,52.87,27.65,NA,28.14,81.65,44.7966666666667,"SK"
"46","02-15",50.22,60.98,42.62,46.36,40.21,40.39,27.59,31.55,30.47,81.5,52.04,26.91,NA,27.59,81.5,44.2366666666667,"SK"
"47","02-16",49.69,60.55,42.14,46.01,39.48,39.86,27.05,30.7,30.25,81.37,51.17,26.62,NA,27.05,81.37,43.7408333333333,"SK"
"48","02-17",49.21,60.24,41.66,45.65,38.78,39.11,26.55,29.89,30.04,81.19,50.35,26.45,NA,26.55,81.19,43.26,"SK"
"49","02-18",48.77,59.81,41.16,45.28,38.06,38.41,26.1,29.08,29.75,80.95,49.56,26.3,NA,26.1,80.95,42.7691666666667,"SK"
"50","02-19",48.4,59.46,40.6,44.96,37.45,37.76,25.66,28.26,29.45,80.64,48.81,26.21,NA,25.66,80.64,42.305,"SK"
"51","02-20",47.99,59.02,39.9,44.63,36.82,37.14,25.19,27.44,29.21,81.49,48.16,26.15,NA,25.19,81.49,41.9283333333333,"SK"
"52","02-21",47.41,58.52,39.16,44.27,36.28,36.62,24.79,26.6,28.95,81.2,47.57,25.89,NA,24.79,81.2,41.4383333333333,"SK"
"53","02-22",46.78,58.08,38.35,43.95,35.76,36.1,24.39,25.71,28.69,80.97,46.89,25.6,NA,24.39,80.97,40.9391666666667,"SK"
"54","02-23",46.13,57.69,37.6,43.67,35.16,35.53,24,25.29,28.69,80.76,46.28,25.31,NA,24,80.76,40.5091666666667,"SK"
"55","02-24",45.33,57.41,36.96,43.26,34.59,34.96,23.64,24.37,28.73,80.48,45.8,25.1,NA,23.64,80.48,40.0525,"SK"
"56","02-25",44.62,57.12,36.28,42.92,34.04,34.32,23.25,23.41,28.65,80.24,45.37,24.89,NA,23.25,80.24,39.5925,"SK"
"57","02-26",44.06,56.89,35.6,42.53,33.52,33.7,22.92,22.42,28.42,79.93,44.94,24.81,NA,22.42,79.93,39.145,"SK"
"58","02-27",43.54,56.48,34.73,42.18,33.02,33.09,22.55,21.4,28.16,79.68,44.58,24.73,NA,21.4,79.68,38.6783333333333,"SK"
"59","02-28",43.03,56.19,34.02,41.89,32.53,32.5,22.3,20.4,27.95,79.39,44.17,24.58,NA,20.4,79.39,38.2458333333333,"SK"
"60","02-29",NA,55.87,NA,NA,NA,31.85,NA,NA,NA,79.12,NA,NA,NA,NA,NA,NA,"SK"
"61","03-01",42.5,55.63,33.32,41.78,32.03,31.74,21.93,20.51,27.95,80.31,44.36,24.33,NA,20.51,80.31,38.0325,"SK"
"62","03-02",41.98,55.41,32.72,41.73,31.5,31.31,21.58,19.61,28,80.26,44.47,24.08,NA,19.61,80.26,37.7208333333333,"SK"
